target_id,n_samples,XY_RMSE_mm,XYZ_RMSE_mm,max_deviation_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm,analysis_mode
0,16,1.481084855717671,1.4827480557650343,2.7742187103984848,2.71874795283294,-0.5646617210431408,69.30651801530074,legacy_style
1,16,1.7079451845542204,1.7430112682510128,2.9251408887009243,21.348741889046842,-1.4519922379960213,64.23917806595924,legacy_style
2,16,1.2171596402871714,1.2611581668748004,2.111092448976358,14.817989739471473,13.665436752958636,64.6328778070506,legacy_style
3,16,2.4531522409778073,2.483776657506667,3.7328253060684413,2.492910583967566,21.50461978253189,64.1801089414426,legacy_style
4,16,1.4384339214068935,1.4615894601426187,2.4557012745853277,-4.235357220634711,15.293654675518452,66.51541677546345,legacy_style
5,16,1.4422866050969698,1.4687396276229496,2.353907157525538,-12.730511517135287,-0.21734402909808415,67.84797599376554,legacy_style
6,16,1.3353290708255594,1.3776688587519876,2.223549474517046,-4.9423761172863365,-15.980700545443247,66.80186953510884,legacy_style
7,16,2.0440911078819872,2.0699322528164994,3.9479368623054323,1.4185102837338626,-22.448646468036728,64.5611574270174,legacy_style
8,0,,,,,,,legacy_style
9,0,,,,,,,legacy_style
10,0,,,,,,,legacy_style
11,0,,,,,,,legacy_style
12,0,,,,,,,legacy_style
13,0,,,,,,,legacy_style
14,0,,,,,,,legacy_style
15,0,,,,,,,legacy_style
16,0,,,,,,,legacy_style
0,16,1.481084855717671,1.4827480557650343,2.7742187103984848,2.71874795283294,-0.5646617210431408,69.30651801530074,thesis_strict
1,16,1.7079451845542204,1.7430112682510128,2.9251408887009243,21.348741889046842,-1.4519922379960213,64.23917806595924,thesis_strict
2,16,1.2171596402871714,1.2611581668748004,2.111092448976358,14.817989739471473,13.665436752958636,64.6328778070506,thesis_strict
3,16,2.4531522409778073,2.483776657506667,3.7328253060684413,2.492910583967566,21.50461978253189,64.1801089414426,thesis_strict
4,16,1.4384339214068935,1.4615894601426187,2.4557012745853277,-4.235357220634711,15.293654675518452,66.51541677546345,thesis_strict
5,16,1.4422866050969698,1.4687396276229496,2.353907157525538,-12.730511517135287,-0.21734402909808415,67.84797599376554,thesis_strict
6,16,1.3353290708255594,1.3776688587519876,2.223549474517046,-4.9423761172863365,-15.980700545443247,66.80186953510884,thesis_strict
7,16,2.0440911078819872,2.0699322528164994,3.9479368623054323,1.4185102837338626,-22.448646468036728,64.5611574270174,thesis_strict
8,0,,,,,,,thesis_strict
9,0,,,,,,,thesis_strict
10,0,,,,,,,thesis_strict
11,0,,,,,,,thesis_strict
12,0,,,,,,,thesis_strict
13,0,,,,,,,thesis_strict
14,0,,,,,,,thesis_strict
15,0,,,,,,,thesis_strict
16,0,,,,,,,thesis_strict
