sample_index,phase,capture_accepted,accept_reject_reason,target_label,command_target_id,command_target_index,commanded_cable_displacement_mm,target_cable_deltas_ticks,resolved_servo_goal_ticks,servo_positions_before_command,servo_positions_after_command,raw_tracker_translation_mm,robot_tip_translation_mm,tracker_stale_age_s,tracker_frame_number,runtime_tip_mode,runtime_tip_trust_level,runtime_telemetry_ok,runtime_telemetry_failure_code
0,approach,True,ok,T11,T11,11,"[0.0,-8.0,0.0,8.0]","[0,-522,0,522]","{""5"":2131,""6"":1902,""7"":2632,""8"":2384}","{""5"":2133,""6"":2431,""7"":2631,""8"":1864}","{""5"":2132,""6"":1967,""7"":2632,""8"":2385}","[-31.560000000000002,3.84,-206.48000000000002]","[2.0005447740172713,38.20432293388209,51.30381676039913]",0.036112973999934184,11840,coil_as_tip,thesis_trusted,True,
1,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":2132,""6"":1966,""7"":2632,""8"":2385}","{""5"":2133,""6"":2427,""7"":2632,""8"":1870}","[-49.54,41.47,-209.76]","[2.459800125529995,0.4760180444272635,69.37090824437755]",0.0,13424,coil_as_tip,thesis_trusted,True,
2,approach,True,ok,T15,T15,15,"[0.0,8.0,0.0,-8.0]","[0,522,0,-522]","{""5"":2131,""6"":2946,""7"":2632,""8"":1340}","{""5"":2133,""6"":2427,""7"":2632,""8"":1870}","{""5"":2132,""6"":2947,""7"":2632,""8"":1403}","[-32.28,82.08,-209.91]","[-0.31929292608239734,-40.07469962680377,52.19481619296516]",0.038051225999879534,14992,coil_as_tip,thesis_trusted,True,
3,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":2132,""6"":2947,""7"":2632,""8"":1403}","{""5"":2132,""6"":2431,""7"":2631,""8"":1863}","[-49.52,43.31,-209.84]","[2.4046874506041434,-1.3649347584820504,69.3549279276443]",0.0,16584,coil_as_tip,thesis_trusted,True,
4,approach,True,ok,T06,T06,6,"[2.8284271247461907,2.82842712474619,-2.8284271247461907,-2.82842712474619]","[184,184,-184,-184]","{""5"":2315,""6"":2608,""7"":2448,""8"":1678}","{""5"":2132,""6"":2431,""7"":2631,""8"":1863}","{""5"":2315,""6"":2609,""7"":2457,""8"":1699}","[-46.81,58.730000000000004,-203.58]","[-4.96157769668207,-16.29042328048059,66.65751617569279]",0.0,18160,coil_as_tip,thesis_trusted,True,
5,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":2315,""6"":2609,""7"":2457,""8"":1699}","{""5"":2133,""6"":2431,""7"":2631,""8"":1863}","[-49.51,43.38,-209.61]","[2.1702026235607548,-1.4179009229558162,69.34437087751853]",0.0,19760,coil_as_tip,thesis_trusted,True,
6,approach,True,ok,T02,T02,2,"[-2.8284271247461903,-2.82842712474619,2.8284271247461903,2.82842712474619]","[-184,-184,184,184]","{""5"":1947,""6"":2240,""7"":2816,""8"":2046}","{""5"":2133,""6"":2431,""7"":2631,""8"":1863}","{""5"":1968,""6"":2264,""7"":2815,""8"":2047}","[-45.0,28.150000000000002,-221.17000000000002]","[14.82908721189429,12.913016361003884,64.83836923753249]",0.0,21328,coil_as_tip,thesis_trusted,True,
7,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":1968,""6"":2264,""7"":2815,""8"":2047}","{""5"":2132,""6"":2426,""7"":2632,""8"":1867}","[-49.44,42.13,-210.49]","[3.139712084820246,-0.235967037301954,69.2744874426326]",0.037615410999933374,22896,coil_as_tip,thesis_trusted,True,
8,approach,True,ok,T10,T10,10,"[-5.6568542494923815,-5.656854249492379,5.6568542494923815,5.656854249492379]","[-369,-369,369,369]","{""5"":1762,""6"":2055,""7"":3001,""8"":2231}","{""5"":2132,""6"":2426,""7"":2632,""8"":1866}","{""5"":1800,""6"":2095,""7"":3000,""8"":2232}","[-34.04,16.12,-230.82]","[25.367048551484714,24.177994186216182,53.883158358559314]",0.0,24472,coil_as_tip,thesis_trusted,True,
9,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":1800,""6"":2095,""7"":3000,""8"":2232}","{""5"":2132,""6"":2426,""7"":2632,""8"":1867}","[-49.43,41.78,-211.13]","[3.8036852539602535,0.06613021388559304,69.26571923374524]",0.0,26064,coil_as_tip,thesis_trusted,True,
