model_key,label,status,reason,sample_count,position_rmse_mm,mean_position_error_mm,max_position_error_mm,tangent_mean_error_deg,tangent_rmse_deg,tangent_max_error_deg,axis_position_rmse_mm,axis_tangent_rmse
mike,Mike,completed,,4092,22.7622567577117,21.593089501613875,35.49065020379751,36.55185368159979,38.62799205165764,62.08212366830254,"[15.093602774919853, 15.242761529143644, 7.613258759728435]","[0.3932234959074825, 0.3960082956823839, 0.3474928730091019]"
camarillo,Camarillo,completed,,4092,22.803317899961794,21.631761921243964,35.556876643813155,36.62260614282339,38.70330164778669,62.21193170172297,"[15.123112843651215, 15.272331372727614, 7.6183108105740915]","[0.3941279758073341, 0.39692067285115307, 0.3477290988673233]"
ann,ANN,completed,,4092,2.1120162942997553,2.0052265100779683,4.369876784832298,116.88513884662652,121.21814560884356,179.13292398182122,"[1.0040363405954549, 1.3564667652573177, 1.2698510813885628]","[1.965840968598871, 1.7857132615514355, 2.7954750667475694]"
