sample_index,phase,capture_accepted,accept_reject_reason,target_label,command_target_id,command_target_index,commanded_cable_displacement_mm,target_cable_deltas_ticks,resolved_servo_goal_ticks,servo_positions_before_command,servo_positions_after_command,raw_tracker_translation_mm,robot_tip_translation_mm,tracker_stale_age_s,tracker_frame_number,runtime_tip_mode,runtime_tip_trust_level,runtime_telemetry_ok,runtime_telemetry_failure_code
0,approach,True,ok,T11,T11,11,"[0.0,-8.0,0.0,8.0]","[0,-522,0,522]","{""5"":2195,""6"":1949,""7"":2715,""8"":2419}","{""5"":2195,""6"":2471,""7"":2715,""8"":1898}","{""5"":2195,""6"":2009,""7"":2714,""8"":2420}","[-33.92,24.42,-242.13]","[1.6814231968431272,36.42209737740149,53.489780049961325]",0.03779638581909239,1469360,coil_as_tip,thesis_trusted,True,
1,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2195,""6"":2471,""7"":2715,""8"":1897}","{""5"":2195,""6"":2009,""7"":2714,""8"":2420}","{""5"":2195,""6"":2471,""7"":2715,""8"":1903}","[-50.31,60.1,-240.26]","[1.6923917439489458,0.6870577583023731,69.86653867651468]",0.03886901307851076,1471456,coil_as_tip,thesis_trusted,True,
2,approach,True,ok,T15,T15,15,"[0.0,8.0,0.0,-8.0]","[0,522,0,-522]","{""5"":2195,""6"":2993,""7"":2715,""8"":1375}","{""5"":2195,""6"":2471,""7"":2715,""8"":1903}","{""5"":2195,""6"":2993,""7"":2715,""8"":1430}","[-33.96,96.31,-239.70000000000002]","[3.157840006387829,-35.493815021756475,53.50814308699212]",0.0,1473536,coil_as_tip,thesis_trusted,True,
3,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2195,""6"":2471,""7"":2715,""8"":1897}","{""5"":2195,""6"":2993,""7"":2715,""8"":1430}","{""5"":2195,""6"":2474,""7"":2715,""8"":1897}","[-50.32,62.52,-240.09]","[1.653991211293345,-1.7386061172162783,69.87549200526053]",0.0,1475568,coil_as_tip,thesis_trusted,True,
4,approach,True,ok,T06,T06,6,"[2.8284271247461907,2.82842712474619,-2.8284271247461907,-2.82842712474619]","[184,184,-184,-184]","{""5"":2379,""6"":2655,""7"":2531,""8"":1713}","{""5"":2195,""6"":2474,""7"":2715,""8"":1897}","{""5"":2379,""6"":2656,""7"":2532,""8"":1730}","[-48.34,75.25,-239.43]","[1.6932047562483774,-14.484920778801317,67.89084472028671]",0.04006704594939947,1477640,coil_as_tip,thesis_trusted,True,
5,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2195,""6"":2471,""7"":2715,""8"":1897}","{""5"":2379,""6"":2656,""7"":2532,""8"":1730}","{""5"":2195,""6"":2474,""7"":2714,""8"":1897}","[-50.35,62.49,-240.04]","[1.602328753622345,-1.7113760886061513,69.90531676023498]",0.0,1479696,coil_as_tip,thesis_trusted,True,
6,approach,True,ok,T02,T02,2,"[-2.8284271247461903,-2.82842712474619,2.8284271247461903,2.82842712474619]","[-184,-184,184,184]","{""5"":2011,""6"":2287,""7"":2899,""8"":2081}","{""5"":2195,""6"":2474,""7"":2714,""8"":1897}","{""5"":2023,""6"":2307,""7"":2897,""8"":2081}","[-47.480000000000004,50.980000000000004,-249.96]","[10.893060837225363,10.321277850168308,67.07319096140387]",0.03684307401999831,1481760,coil_as_tip,thesis_trusted,True,
7,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2195,""6"":2471,""7"":2715,""8"":1897}","{""5"":2023,""6"":2307,""7"":2897,""8"":2081}","{""5"":2195,""6"":2471,""7"":2715,""8"":1898}","[-50.11,60.95,-241.77]","[3.2470207826928856,-0.07963619076373618,69.6718364927581]",0.0,1483848,coil_as_tip,thesis_trusted,True,
8,approach,True,ok,T10,T10,10,"[-5.6568542494923815,-5.656854249492379,5.6568542494923815,5.656854249492379]","[-369,-369,369,369]","{""5"":1826,""6"":2102,""7"":3084,""8"":2266}","{""5"":2195,""6"":2471,""7"":2715,""8"":1898}","{""5"":1857,""6"":2135,""7"":3083,""8"":2266}","[-37.63,39.730000000000004,-261.44]","[21.78067924119361,22.18162220640582,57.266693256257724]",0.03877082793042064,1485912,coil_as_tip,thesis_trusted,True,
9,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2195,""6"":2471,""7"":2715,""8"":1897}","{""5"":1855,""6"":2135,""7"":3083,""8"":2266}","{""5"":2194,""6"":2471,""7"":2715,""8"":1900}","[-50.14,60.17,-242.28]","[3.713810747877858,0.7268899570743486,69.70381619344579]",0.0,1488000,coil_as_tip,thesis_trusted,True,
10,approach,True,ok,T03,T03,3,"[0.0,-4.0,0.0,4.0]","[0,-261,0,261]","{""5"":2195,""6"":2210,""7"":2715,""8"":2158}","{""5"":2194,""6"":2471,""7"":2715,""8"":1900}","{""5"":2194,""6"":2239,""7"":2715,""8"":2159}","[-46.410000000000004,42.800000000000004,-243.11]","[3.6129543697956024,18.117729767557083,65.97994472988415]",0.03797344118356705,1490088,coil_as_tip,thesis_trusted,True,
11,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2195,""6"":2471,""7"":2715,""8"":1897}","{""5"":2194,""6"":2238,""7"":2715,""8"":2159}","{""5"":2194,""6"":2471,""7"":2715,""8"":1901}","[-50.230000000000004,59.910000000000004,-241.59]","[3.0103938491769497,0.9490128604885015,69.79137236056654]",0.038182571064680815,1492128,coil_as_tip,thesis_trusted,True,
12,approach,True,ok,T04,T04,4,"[2.82842712474619,-2.8284271247461903,-2.82842712474619,2.8284271247461903]","[184,-184,-184,184]","{""5"":2379,""6"":2287,""7"":2531,""8"":2081}","{""5"":2194,""6"":2471,""7"":2715,""8"":1900}","{""5"":2379,""6"":2305,""7"":2532,""8"":2081}","[-48.26,48.28,-242.86]","[3.6541902370977652,12.631546408530426,67.82804963880756]",0.038588753901422024,1494296,coil_as_tip,thesis_trusted,True,
13,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2195,""6"":2471,""7"":2715,""8"":1897}","{""5"":2379,""6"":2306,""7"":2533,""8"":2081}","{""5"":2195,""6"":2471,""7"":2714,""8"":1900}","[-50.22,59.93,-241.42000000000002]","[2.84176741752529,0.9198168482647375,69.78075542039284]",0.03714749892242253,1496384,coil_as_tip,thesis_trusted,True,
14,approach,True,ok,T12,T12,12,"[5.6568542494923735,-5.656854249492387,-5.6568542494923735,5.656854249492387]","[369,-369,-369,369]","{""5"":2564,""6"":2102,""7"":2346,""8"":2266}","{""5"":2195,""6"":2471,""7"":2714,""8"":1900}","{""5"":2564,""6"":2143,""7"":2348,""8"":2266}","[-43.11,35.43,-242.05]","[2.166259859080384,25.42054933484483,62.67746061026968]",0.03688546293415129,1498536,coil_as_tip,thesis_trusted,True,
15,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2195,""6"":2471,""7"":2715,""8"":1897}","{""5"":2564,""6"":2143,""7"":2348,""8"":2266}","{""5"":2195,""6"":2471,""7"":2714,""8"":1902}","[-50.31,60.01,-241.28]","[2.7059946566451174,0.8323005552300629,69.87023533912576]",0.03778872010298073,1500728,coil_as_tip,thesis_trusted,True,
16,approach,True,ok,T14,T14,14,"[5.656854249492377,5.656854249492383,-5.656854249492377,-5.656854249492383]","[369,369,-369,-369]","{""5"":2564,""6"":2840,""7"":2346,""8"":1528}","{""5"":2195,""6"":2471,""7"":2714,""8"":1902}","{""5"":2564,""6"":2841,""7"":2348,""8"":1567}","[-42.84,87.28,-240.65]","[3.5842785263381813,-26.428884402302614,62.39312947151687]",0.0,1502904,coil_as_tip,thesis_trusted,True,
17,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2195,""6"":2471,""7"":2715,""8"":1897}","{""5"":2564,""6"":2841,""7"":2348,""8"":1567}","{""5"":2195,""6"":2473,""7"":2714,""8"":1897}","[-50.32,62.26,-240.62]","[2.169090533542601,-1.4502160157914616,69.87745098931364]",0.0,1505064,coil_as_tip,thesis_trusted,True,
18,approach,True,ok,T08,T08,8,"[-2.8284271247461894,2.8284271247461907,2.8284271247461894,-2.8284271247461907]","[-184,184,184,-184]","{""5"":2011,""6"":2655,""7"":2899,""8"":1713}","{""5"":2195,""6"":2473,""7"":2714,""8"":1897}","{""5"":2024,""6"":2656,""7"":2898,""8"":1729}","[-47.410000000000004,74.64,-248.05]","[10.270660454014177,-13.407494478397531,66.99206425762455]",0.0,1507224,coil_as_tip,thesis_trusted,True,
