sample_index,phase,capture_accepted,accept_reject_reason,target_label,command_target_id,command_target_index,commanded_cable_displacement_mm,target_cable_deltas_ticks,resolved_servo_goal_ticks,servo_positions_before_command,servo_positions_after_command,raw_tracker_translation_mm,robot_tip_translation_mm,tracker_stale_age_s,tracker_frame_number,runtime_tip_mode,runtime_tip_trust_level,runtime_telemetry_ok,runtime_telemetry_failure_code
0,approach,True,ok,T11,T11,11,"[0.0,-8.0,0.0,8.0]","[0,-522,0,522]","{""5"":2125,""6"":1894,""7"":2494,""8"":2365}","{""5"":2128,""6"":2419,""7"":2495,""8"":1845}","{""5"":2126,""6"":1961,""7"":2493,""8"":2365}","[-32.25,4.76,-205.36]","[0.8831188841193978,38.53047476131697,53.02531277968689]",0.0,13802752,coil_as_tip,thesis_trusted,True,
1,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2125,""6"":2416,""7"":2494,""8"":1843}","{""5"":2126,""6"":1961,""7"":2493,""8"":2365}","{""5"":2128,""6"":2417,""7"":2497,""8"":1850}","[-49.370000000000005,41.78,-206.48000000000002]","[-0.5792020377238316,1.568308152461725,70.24417038118783]",0.0,13804488,coil_as_tip,thesis_trusted,True,
2,approach,True,ok,T15,T15,15,"[0.0,8.0,0.0,-8.0]","[0,522,0,-522]","{""5"":2125,""6"":2938,""7"":2494,""8"":1321}","{""5"":2128,""6"":2417,""7"":2497,""8"":1850}","{""5"":2126,""6"":2939,""7"":2495,""8"":1390}","[-32.32,81.66,-209.6]","[-0.07392158603249754,-38.47988207968572,53.31081717531427]",0.0,13806232,coil_as_tip,thesis_trusted,True,
3,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2125,""6"":2416,""7"":2494,""8"":1843}","{""5"":2126,""6"":2939,""7"":2495,""8"":1390}","{""5"":2127,""6"":2421,""7"":2497,""8"":1845}","[-49.08,44.300000000000004,-206.51]","[-0.7178465910506304,-0.9487967429016706,69.96069086945818]",0.03765693699824624,13807960,coil_as_tip,thesis_trusted,True,
4,approach,True,ok,T06,T06,6,"[2.8284271247461907,2.82842712474619,-2.8284271247461907,-2.82842712474619]","[184,184,-184,-184]","{""5"":2309,""6"":2600,""7"":2310,""8"":1659}","{""5"":2127,""6"":2421,""7"":2497,""8"":1845}","{""5"":2309,""6"":2601,""7"":2333,""8"":1676}","[-44.82,58.61,-193.84]","[-14.30348801254803,-14.383899210943497,65.6733876565153]",0.0,13809704,coil_as_tip,thesis_trusted,True,
5,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2125,""6"":2416,""7"":2494,""8"":1843}","{""5"":2309,""6"":2601,""7"":2333,""8"":1676}","{""5"":2130,""6"":2421,""7"":2495,""8"":1844}","[-49.08,44.12,-206.19]","[-1.024972857834399,-0.7476271200760607,69.95863196108772]",0.0,13811440,coil_as_tip,thesis_trusted,True,
6,approach,True,ok,T02,T02,2,"[-2.8284271247461903,-2.82842712474619,2.8284271247461903,2.82842712474619]","[-184,-184,184,184]","{""5"":1941,""6"":2232,""7"":2678,""8"":2027}","{""5"":2130,""6"":2421,""7"":2495,""8"":1844}","{""5"":1961,""6"":2255,""7"":2677,""8"":2028}","[-45.300000000000004,28.77,-220.02]","[13.827007127274982,13.623894250582822,66.20925014342681]",0.0,13813168,coil_as_tip,thesis_trusted,True,
7,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2125,""6"":2416,""7"":2494,""8"":1843}","{""5"":1961,""6"":2255,""7"":2677,""8"":2028}","{""5"":2127,""6"":2417,""7"":2500,""8"":1847}","[-49.160000000000004,42.86,-206.91]","[-0.2220190433867799,0.46117266158839243,70.03905745276779]",0.0,13814896,coil_as_tip,thesis_trusted,True,
8,approach,True,ok,T10,T10,10,"[-5.6568542494923815,-5.656854249492379,5.6568542494923815,5.656854249492379]","[-369,-369,369,369]","{""5"":1756,""6"":2047,""7"":2863,""8"":2212}","{""5"":2127,""6"":2418,""7"":2500,""8"":1847}","{""5"":1790,""6"":2084,""7"":2862,""8"":2213}","[-34.730000000000004,16.72,-229.98000000000002]","[24.62806251652873,24.94451812693415,55.65890998168528]",0.0,13816616,coil_as_tip,thesis_trusted,True,
9,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2125,""6"":2416,""7"":2494,""8"":1843}","{""5"":1790,""6"":2084,""7"":2862,""8"":2213}","{""5"":2127,""6"":2417,""7"":2500,""8"":1848}","[-49.160000000000004,42.39,-207.15]","[0.04913362569277524,0.9139156679359317,70.03907340345552]",0.0,13818360,coil_as_tip,thesis_trusted,True,
