model_key,label,status,reason,sample_count,position_rmse_mm,mean_position_error_mm,max_position_error_mm,tangent_mean_error_deg,tangent_rmse_deg,tangent_max_error_deg,axis_position_rmse_mm,axis_tangent_rmse
mike,Mike,completed,,115,26.612472016648347,24.811615995996824,43.26046942706219,41.657166068616284,44.77122715325284,72.2773568812298,"[14.070887865574706, 20.71888683258064, 8.997861408692089]","[0.36626648573776555, 0.47420495592718476, 0.45599903280149456]"
camarillo,Camarillo,completed,,115,26.65213350277089,24.843887181684895,43.3423210037463,41.71656203486695,44.84486426446497,72.43422571293084,"[14.083282442612363, 20.75832494375386, 9.004960933877257]","[0.36653007638738877, 0.47540964795357554, 0.4563918724213897]"
ann,ANN,completed,,115,18.947521276475516,13.261881561676331,46.46082531812808,18.526738691263393,27.994317127484063,74.46338734814039,"[17.990577572166583, 2.212120879651739, 5.518532627081058]","[0.4356899531008423, 0.07946983788931018, 0.1563775268142082]"
