sample_index,phase,capture_accepted,accept_reject_reason,target_label,command_target_id,command_target_index,commanded_cable_displacement_mm,target_cable_deltas_ticks,resolved_servo_goal_ticks,servo_positions_before_command,servo_positions_after_command,raw_tracker_translation_mm,robot_tip_translation_mm,tracker_stale_age_s,tracker_frame_number,runtime_tip_mode,runtime_tip_trust_level,runtime_telemetry_ok,runtime_telemetry_failure_code
63,repeat,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.03810127399628982,322056,,,True,
64,approach,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.03906473200186156,323728,,,True,
65,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.03818518097978085,325392,,,True,
66,approach,True,ok,T16,,,,"[-369,369,369,-369]",,,,,,0.0,327064,,,True,
67,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,328704,,,True,
68,approach,True,ok,T14,,,,"[369,369,-369,-369]",,,,,,0.0,330376,,,True,
69,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,332048,,,True,
70,approach,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.03629683700273745,333712,,,True,
71,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.03901591800968163,335368,,,True,
72,approach,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,337040,,,True,
73,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,338712,,,True,
74,approach,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.036819444998400286,340352,,,True,
75,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,342008,,,True,
76,approach,True,ok,T15,,,,"[0,522,0,-522]",,,,,,0.0,343680,,,True,
77,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.03607350500533357,345360,,,True,
78,approach,True,ok,T13,,,,"[522,0,-522,0]",,,,,,0.0,347024,,,True,
79,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,348664,,,True,
80,approach,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,350360,,,True,
81,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,352016,,,True,
82,approach,True,ok,T09,,,,"[-522,0,522,0]",,,,,,0.03856038299272768,353664,,,True,
83,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.039678728993749246,355328,,,True,
84,approach,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,357008,,,True,
85,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,358680,,,True,
86,approach,True,ok,T11,,,,"[0,-522,0,522]",,,,,,0.0,360336,,,True,
87,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.03705374099081382,361992,,,True,
88,approach,True,ok,T10,,,,"[-369,-369,369,369]",,,,,,0.0,363648,,,True,
89,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,365312,,,True,
90,approach,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,366968,,,True,
91,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,368632,,,True,
92,approach,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,370304,,,True,
93,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,371960,,,True,
94,approach,True,ok,T12,,,,"[369,-369,-369,369]",,,,,,0.0,373632,,,True,
95,repeat,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.038574473990593106,375304,,,True,
96,approach,True,ok,T13,,,,"[522,0,-522,0]",,,,,,0.0,376960,,,True,
97,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,378616,,,True,
98,approach,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,380272,,,True,
99,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.03905489799217321,381928,,,True,
100,approach,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,383592,,,True,
101,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.03915195298031904,385240,,,True,
102,approach,True,ok,T10,,,,"[-369,-369,369,369]",,,,,,0.03724657301791012,386920,,,True,
103,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.036746519996086136,388592,,,True,
104,approach,True,ok,T16,,,,"[-369,369,369,-369]",,,,,,0.0,390296,,,True,
105,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,391944,,,True,
106,approach,True,ok,T09,,,,"[-522,0,522,0]",,,,,,0.0,393616,,,True,
107,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.03596926399040967,395288,,,True,
108,approach,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.0,396968,,,True,
109,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.03715949898469262,398640,,,True,
110,approach,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,400320,,,True,
111,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,401984,,,True,
112,approach,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,403656,,,True,
113,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,405336,,,True,
114,approach,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,407008,,,True,
115,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,408680,,,True,
116,approach,True,ok,T11,,,,"[0,-522,0,522]",,,,,,0.0,410376,,,True,
117,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,412040,,,True,
118,approach,True,ok,T15,,,,"[0,522,0,-522]",,,,,,0.0,413720,,,True,
119,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,415408,,,True,
120,approach,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.038086532993474975,417048,,,True,
121,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,418744,,,True,
122,approach,True,ok,T14,,,,"[369,369,-369,-369]",,,,,,0.0,420408,,,True,
123,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,422088,,,True,
124,approach,True,ok,T12,,,,"[369,-369,-369,369]",,,,,,0.0,423776,,,True,
125,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,425448,,,True,
126,approach,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,427120,,,True,
127,repeat,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.038026624999474734,428792,,,True,
128,approach,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.03613663400756195,430456,,,True,
129,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,432120,,,True,
130,approach,True,ok,T12,,,,"[369,-369,-369,369]",,,,,,0.03917569402256049,433792,,,True,
131,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.039105139003368095,435440,,,True,
132,approach,True,ok,T11,,,,"[0,-522,0,522]",,,,,,0.038184384000487626,437128,,,True,
133,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.03720114700263366,438808,,,True,
134,approach,True,ok,T14,,,,"[369,369,-369,-369]",,,,,,0.0382353650056757,440464,,,True,
135,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.03687851899303496,442168,,,True,
136,approach,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,443856,,,True,
137,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,445520,,,True,
138,approach,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,447184,,,True,
139,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,448864,,,True,
140,approach,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.038811898994026706,450528,,,True,
141,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,452208,,,True,
142,approach,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,453880,,,True,
143,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,455528,,,True,
144,approach,True,ok,T10,,,,"[-369,-369,369,369]",,,,,,0.0,457176,,,True,
145,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,458840,,,True,
146,approach,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.03799612500006333,460496,,,True,
147,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,462184,,,True,
148,approach,True,ok,T16,,,,"[-369,369,369,-369]",,,,,,0.0,463832,,,True,
149,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,465488,,,True,
150,approach,True,ok,T09,,,,"[-522,0,522,0]",,,,,,0.036935555981472135,467152,,,True,
151,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,468840,,,True,
152,approach,True,ok,T15,,,,"[0,522,0,-522]",,,,,,0.037032167019788176,470504,,,True,
153,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,472168,,,True,
154,approach,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.03816097599337809,473824,,,True,
155,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,475504,,,True,
156,approach,True,ok,T13,,,,"[522,0,-522,0]",,,,,,0.0,477176,,,True,
157,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.03815636501531117,478848,,,True,
158,approach,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,480544,,,True,
159,repeat,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,482240,,,True,
160,approach,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.0,483872,,,True,
161,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,485552,,,True,
162,approach,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,487192,,,True,
163,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0364488729974255,488864,,,True,
164,approach,True,ok,T14,,,,"[369,369,-369,-369]",,,,,,0.0,490520,,,True,
165,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,492192,,,True,
166,approach,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,493848,,,True,
167,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,495536,,,True,
168,approach,True,ok,T12,,,,"[369,-369,-369,369]",,,,,,0.03983909799717367,497192,,,True,
169,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.03890091701759957,498856,,,True,
170,approach,True,ok,T11,,,,"[0,-522,0,522]",,,,,,0.03712590699433349,500528,,,True,
171,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.03804890200262889,502208,,,True,
172,approach,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,503888,,,True,
173,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.039887801016448066,505552,,,True,
174,approach,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,507248,,,True,
175,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,508936,,,True,
176,approach,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,510600,,,True,
177,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,512272,,,True,
178,approach,True,ok,T13,,,,"[522,0,-522,0]",,,,,,0.03597500501200557,513944,,,True,
179,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.03833077198942192,515608,,,True,
180,approach,True,ok,T10,,,,"[-369,-369,369,369]",,,,,,0.0,517304,,,True,
181,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,518968,,,True,
182,approach,True,ok,T16,,,,"[-369,369,369,-369]",,,,,,0.0,520656,,,True,
183,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,522312,,,True,
184,approach,True,ok,T15,,,,"[0,522,0,-522]",,,,,,0.0,523976,,,True,
185,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.03698257400537841,525648,,,True,
186,approach,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,527328,,,True,
187,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.02347304200520739,528960,,,True,
188,approach,True,ok,T09,,,,"[-522,0,522,0]",,,,,,0.0,530640,,,True,
189,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.03714396202121861,532288,,,True,
190,approach,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.03823951300000772,533960,,,True,
191,repeat,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,535624,,,True,
192,approach,True,ok,T14,,,,"[369,369,-369,-369]",,,,,,0.037863884994294494,537320,,,True,
193,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,539016,,,True,
194,approach,True,ok,T13,,,,"[522,0,-522,0]",,,,,,0.0,540680,,,True,
195,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,542336,,,True,
196,approach,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,543992,,,True,
197,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,545672,,,True,
198,approach,True,ok,T11,,,,"[0,-522,0,522]",,,,,,0.0,547352,,,True,
199,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,549024,,,True,
200,approach,True,ok,T09,,,,"[-522,0,522,0]",,,,,,0.0,550696,,,True,
201,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,552360,,,True,
202,approach,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,554048,,,True,
203,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,555704,,,True,
204,approach,True,ok,T12,,,,"[369,-369,-369,369]",,,,,,0.0,557368,,,True,
205,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.03578995002317242,559016,,,True,
206,approach,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.0,560680,,,True,
207,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,562368,,,True,
208,approach,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,564048,,,True,
209,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,565744,,,True,
210,approach,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,567408,,,True,
211,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.03903397198882885,569064,,,True,
212,approach,True,ok,T16,,,,"[-369,369,369,-369]",,,,,,0.0,570752,,,True,
213,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.03714736900292337,572432,,,True,
214,approach,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,574120,,,True,
215,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,575776,,,True,
216,approach,True,ok,T15,,,,"[0,522,0,-522]",,,,,,0.0,577448,,,True,
