target_id,n_samples,XY_RMSE_mm,XYZ_RMSE_mm,max_deviation_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm,analysis_mode
0,16,1.6814161633999438,1.6842763204109719,3.0356049909342486,-5.027676575761457,4.414259572663014,63.704116604762724,legacy_style
1,16,1.3170117285354053,1.4973599237332507,2.612025196731807,27.170249426590637,3.2835123434616453,53.625216541002956,legacy_style
2,16,0.9517414706474385,1.0713654910390011,2.3385244187672556,17.993004761263983,24.02898704886383,52.380385916010795,legacy_style
3,16,4.8132749098880145,4.995986823556798,12.3787201327499,3.7057464215561815,31.553548927046215,51.60854027166225,legacy_style
4,16,6.097874292870511,6.2570655441636704,14.612483124345156,3.0502769347602587,23.62313018569863,57.51604884111304,legacy_style
5,16,2.8636721513513836,2.9349875741094595,7.2639188555707035,7.1912028016891325,1.8101009210794292,63.19449475577513,legacy_style
6,16,1.5317995975588536,1.56222246312496,2.5737585604065716,0.42795612600996646,-23.127642337731718,58.94897699471857,legacy_style
7,16,1.70815280639974,1.728394489960718,6.335042701540702,-1.1154735434307848,-32.524557723121596,53.02304500387896,legacy_style
8,16,8.457677215427449,8.81518500060286,17.894734987808448,6.056642084946917,-22.852827249486136,57.40940532740846,legacy_style
9,16,6.726034089132756,7.0534036378762615,11.47275465014732,13.706828911944099,1.702322122499136,60.99381044926905,legacy_style
10,16,3.9746401526481203,4.0206414219538384,8.067257784694789,-5.722884530589327,40.38091516091814,42.29321930163884,legacy_style
11,16,1.23734012216578,1.592809281372758,4.291438730800054,-9.756476272043768,48.01771042300394,24.97197619546296,legacy_style
12,16,0.45484790717940843,0.5477551639504704,0.9102087153145159,-10.89198677022741,41.406482017487214,40.876988888259916,legacy_style
13,16,1.578435811610964,1.583305826429634,2.125343455521234,-8.094452003064049,3.419201768074282,64.44214780535677,legacy_style
14,16,0.7455958175578741,1.066076714469662,2.954249722480387,-2.433678019905034,-41.81508769902387,43.98468674363234,legacy_style
15,16,0.3059064839908699,0.8676027109833492,1.8017815919058284,-1.1039884742975228,-49.07899859032392,29.43219210913981,legacy_style
16,16,2.4912795438482185,2.519014345048886,9.4970091428491,-1.370682744450897,-42.55994537945909,43.165679947760815,legacy_style
0,16,1.6814161633999438,1.6842763204109719,3.0356049909342486,-5.027676575761457,4.414259572663014,63.704116604762724,thesis_strict
1,16,1.3170117285354053,1.4973599237332507,2.612025196731807,27.170249426590637,3.2835123434616453,53.625216541002956,thesis_strict
2,16,0.9517414706474385,1.0713654910390011,2.3385244187672556,17.993004761263983,24.02898704886383,52.380385916010795,thesis_strict
3,16,4.8132749098880145,4.995986823556798,12.3787201327499,3.7057464215561815,31.553548927046215,51.60854027166225,thesis_strict
4,16,6.097874292870511,6.2570655441636704,14.612483124345156,3.0502769347602587,23.62313018569863,57.51604884111304,thesis_strict
5,16,2.8636721513513836,2.9349875741094595,7.2639188555707035,7.1912028016891325,1.8101009210794292,63.19449475577513,thesis_strict
6,16,1.5317995975588536,1.56222246312496,2.5737585604065716,0.42795612600996646,-23.127642337731718,58.94897699471857,thesis_strict
7,16,1.70815280639974,1.728394489960718,6.335042701540702,-1.1154735434307848,-32.524557723121596,53.02304500387896,thesis_strict
8,16,8.457677215427449,8.81518500060286,17.894734987808448,6.056642084946917,-22.852827249486136,57.40940532740846,thesis_strict
9,16,6.726034089132756,7.0534036378762615,11.47275465014732,13.706828911944099,1.702322122499136,60.99381044926905,thesis_strict
10,16,3.9746401526481203,4.0206414219538384,8.067257784694789,-5.722884530589327,40.38091516091814,42.29321930163884,thesis_strict
11,16,1.23734012216578,1.592809281372758,4.291438730800054,-9.756476272043768,48.01771042300394,24.97197619546296,thesis_strict
12,16,0.45484790717940843,0.5477551639504704,0.9102087153145159,-10.89198677022741,41.406482017487214,40.876988888259916,thesis_strict
13,16,1.578435811610964,1.583305826429634,2.125343455521234,-8.094452003064049,3.419201768074282,64.44214780535677,thesis_strict
14,16,0.7455958175578741,1.066076714469662,2.954249722480387,-2.433678019905034,-41.81508769902387,43.98468674363234,thesis_strict
15,16,0.3059064839908699,0.8676027109833492,1.8017815919058284,-1.1039884742975228,-49.07899859032392,29.43219210913981,thesis_strict
16,16,2.4912795438482185,2.519014345048886,9.4970091428491,-1.370682744450897,-42.55994537945909,43.165679947760815,thesis_strict
