epoch,train_loss,validation_loss,elapsed_s
1,0.18278706232085823,0.010956779913976788,0.3176803751848638
2,0.007359112442160646,0.0050400689127855,0.5688605830073357
3,0.004591089652644264,0.004035141633357853,0.8210832080803812
4,0.004033468958611289,0.004933306400198489,1.0636173752136528
5,0.003926606822965873,0.003389421524479985,1.2819777082186192
6,0.003497418373202284,0.00341384531930089,1.489103791071102
7,0.0034127908655338817,0.004708584945183248,1.6969074162188917
8,0.0033814645061890285,0.002972588571719825,1.9075167500413954
9,0.003448712342004809,0.003097362141124904,2.106769541045651
10,0.003430160075529582,0.004009138786932454,2.3177232909947634
11,0.0034320668472597998,0.0029674978693947198,2.526025083148852
12,0.003174279073977636,0.0034856074053095654,2.7354398330207914
13,0.0033586241473029885,0.003924010606715456,2.952662291005254
14,0.003256516634590096,0.003262282209470868,3.1602310410235077
15,0.003177606655905644,0.003005009877961129,3.370533041190356
16,0.0033246429779359866,0.003372126491740346,3.5789190002251416
17,0.0034082632718814743,0.003481750434730202,3.7878146660514176
18,0.0034062416422077353,0.005258209444582463,4.013817916158587
19,0.003351650101184431,0.0028223965666256843,4.257773500168696
20,0.00317821158354895,0.003603775010560639,4.483478791080415
21,0.0031833796464424166,0.0033439685706980527,4.694784666178748
22,0.0032711626754866707,0.003206110410974361,4.902899625012651
23,0.003255706728022132,0.0031863435287959874,5.11062700022012
24,0.0031275279043863216,0.002898345998255536,5.3202690000180155
25,0.0033123721019364893,0.0042819326394237574,5.53209612518549
26,0.003203610793894364,0.002931265690131113,5.751576791051775
27,0.0030443539040991003,0.002698490640614182,5.967084625037387
28,0.003055436226228873,0.002917373669333756,6.186465000035241
29,0.00330596414860338,0.0030799237312749026,6.394668416120112
30,0.0032861453959614866,0.004243070050142706,6.613753666169941
31,0.003258199437469658,0.002785716310609132,6.829656625166535
32,0.0032703019885553255,0.003221171916811727,7.047011958202347
33,0.0036140287864125436,0.0027980526152532547,7.262383416062221
34,0.0030813783290795983,0.0030264115892350675,7.480654625222087
35,0.0029794804234471585,0.0027305740804877132,7.704164416063577
36,0.002934440053326802,0.0028782988665625453,7.9242865410633385
37,0.0030909458744443124,0.0028169525612611324,8.133482666220516
38,0.0030519925769315,0.00307744147721678,8.34344729105942
39,0.0031320908494914573,0.0027307841228321195,8.552381500136107
40,0.003085878861343695,0.0030952634813729675,8.762132458155975
41,0.0030490578061694073,0.003267823508940637,8.9837265831884
42,0.0031681443499918614,0.003429617406800389,9.203266958007589
43,0.003225418974438475,0.003773388615809381,9.420552000170574
44,0.0032349994509584374,0.002824544144095853,9.636685500154272
45,0.0029526525060646234,0.0036543141468428075,9.861596041126177
46,0.003095171125864403,0.002706156054046005,10.076184208039194
47,0.0030741392311433124,0.002699160005431622,10.29210020811297
48,0.0030682759954490596,0.002801754407119006,10.505579291144386
49,0.0031022886124749977,0.0032678890391252937,10.722610000055283
50,0.0030179791876839266,0.0038138359144795687,10.942161750048399
51,0.003488904429185722,0.002812984061893076,11.154932958073914
52,0.003262763960649156,0.002843369811307639,11.37406750000082
53,0.0032609791934697166,0.00272036629030481,11.583957208087668
54,0.003139439390765296,0.002960675151553005,11.79586916603148
55,0.0031143581960350274,0.00326931185554713,12.008299583103508
56,0.002920406543287552,0.003559994138777256,12.217566583072767
57,0.0030944663992462057,0.0027130972128361465,12.43270375020802
