model_key,label,phase,sample_count,position_rmse_mm,mean_position_error_mm,tangent_mean_error_deg
mike,Mike,initial_neutral,1.0,6.597724576823914,6.597724576823914,167.15294985465576
mike,Mike,workspace_capture,138.0,16.431589373559444,15.897774086566033,152.8659440132726
camarillo,Camarillo,initial_neutral,1.0,6.597724576823914,6.597724576823914,167.15294985465576
camarillo,Camarillo,workspace_capture,138.0,16.434735659148245,15.899832593523698,152.86266366782087
ann,ANN,initial_neutral,1.0,9.618914452543107,9.618914452543107,165.19272858091776
ann,ANN,workspace_capture,138.0,19.281310281491628,18.94458737540612,151.78364667292882
