model_key,label,status,reason,sample_count,position_rmse_mm,mean_position_error_mm,max_position_error_mm,tangent_mean_error_deg,tangent_rmse_deg,tangent_max_error_deg,axis_position_rmse_mm,axis_tangent_rmse
mike,Mike,completed,,139,16.38193728467997,15.830867255560694,27.77917745101585,152.96872822795882,153.10030274757685,167.15294985465576,"[5.799483755971955, 15.043420999724496, 2.9033329103727215]","[0.19565402638444124, 0.4430449314632938, 1.8804613572046684]"
camarillo,Camarillo,completed,,139,16.385070402957073,15.83291095311579,27.793147030305732,152.96547148211465,153.0974104809026,167.15294985465576,"[5.805309627900047, 15.044541829618245, 2.903562186511212]","[0.1954544277742767, 0.4429901084778596, 1.8804735759250224]"
ann,ANN,completed,,139,18.86971508484316,18.464307180785166,32.28953882320885,149.46212289817154,149.61414154242183,163.64083436909706,"[8.128125730820713, 15.454872106274463, 7.151688448599207]","[0.23802883734093835, 0.48162450454136746, 1.856791251895895]"
