target_id,n_samples,XY_RMSE_mm,XYZ_RMSE_mm,max_deviation_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm,analysis_mode
0,0,,,,,,,legacy_style
1,0,,,,,,,legacy_style
2,0,,,,,,,legacy_style
3,0,,,,,,,legacy_style
4,0,,,,,,,legacy_style
5,0,,,,,,,legacy_style
6,0,,,,,,,legacy_style
7,0,,,,,,,legacy_style
8,0,,,,,,,legacy_style
9,0,,,,,,,legacy_style
10,0,,,,,,,legacy_style
11,0,,,,,,,legacy_style
12,0,,,,,,,legacy_style
13,0,,,,,,,legacy_style
14,0,,,,,,,legacy_style
15,0,,,,,,,legacy_style
16,0,,,,,,,legacy_style
0,0,,,,,,,thesis_strict
1,0,,,,,,,thesis_strict
2,0,,,,,,,thesis_strict
3,0,,,,,,,thesis_strict
4,0,,,,,,,thesis_strict
5,0,,,,,,,thesis_strict
6,0,,,,,,,thesis_strict
7,0,,,,,,,thesis_strict
8,0,,,,,,,thesis_strict
9,0,,,,,,,thesis_strict
10,0,,,,,,,thesis_strict
11,0,,,,,,,thesis_strict
12,0,,,,,,,thesis_strict
13,0,,,,,,,thesis_strict
14,0,,,,,,,thesis_strict
15,0,,,,,,,thesis_strict
16,0,,,,,,,thesis_strict
