epoch,train_loss,validation_loss,elapsed_s
1,751.8370018005371,728.7036590576172,0.2359079997986555
2,712.3197784423828,684.0535125732422,0.2804130418226123
3,654.6682243347168,610.1139678955078,0.3199382498860359
4,563.180980682373,495.2343521118164,0.3604009998962283
5,431.7772922515869,347.17987060546875,0.4017522919457406
6,279.0387315750122,203.73632049560547,0.44545958284288645
7,159.0722780227661,118.1826000213623,0.4863085828255862
8,101.72198343276978,87.98983573913574,0.5254238748457283
9,79.73884749412537,68.83331108093262,0.564221124863252
10,60.91004824638367,51.4660120010376,0.6040639579296112
11,44.472657918930054,37.84452247619629,0.6433309169951826
12,33.09756016731262,28.263086318969727,0.6870703329332173
13,25.95600390434265,22.65006732940674,0.7265716248657554
14,20.759415864944458,19.622829914093018,0.7651297079864889
15,18.69823968410492,17.79746389389038,0.8050757078453898
16,16.87852954864502,16.364399671554565,0.8444731249473989
17,16.19526779651642,14.973978757858276,0.8839604998938739
18,14.598555088043213,13.624016284942627,0.9272303329780698
19,13.07959771156311,12.533176898956299,0.9649022079538554
20,11.796321123838425,11.460060358047485,1.0039929579943419
21,10.964948534965515,10.462020874023438,1.0430002918001264
22,9.899620920419693,9.57506251335144,1.0817692498676479
23,9.161876380443573,8.805454015731812,1.1214419999159873
24,8.360487133264542,7.970378398895264,1.162034124834463
25,7.663533180952072,7.286240220069885,1.206449291901663
26,7.14364418387413,6.563350558280945,1.2443662078585476
27,6.300838381052017,5.903006672859192,1.2803571668919176
28,5.7876103818416595,5.314843773841858,1.315309374826029
29,5.083536818623543,4.7732908725738525,1.353173082927242
30,4.563055902719498,4.2866294384002686,1.3920959997922182
31,4.133238226175308,3.8763954639434814,1.4372066247742623
32,3.693764880299568,3.44581538438797,1.4788035419769585
33,3.2309179455041885,3.089850664138794,1.5207118329126388
34,2.9955406188964844,2.838333547115326,1.560996541986242
35,2.6423216462135315,2.5579833984375,1.601849207887426
36,2.435180827975273,2.3485397696495056,1.643341832794249
37,2.2567500174045563,2.1218006908893585,1.688505166908726
38,2.031386189162731,1.9608457684516907,1.7289038328453898
39,1.929297313094139,1.8560705482959747,1.76890974980779
40,1.7913783490657806,1.7350091338157654,1.810244832886383
41,1.6807053685188293,1.6691077947616577,1.8514784998260438
42,1.6249220073223114,1.6180331707000732,1.8916812499519438
43,1.5683730691671371,1.572633683681488,1.9363779169507325
44,1.525378905236721,1.433927059173584,1.9770083748735487
45,1.443598911166191,1.386756181716919,2.0168120418675244
46,1.3600284941494465,1.350083202123642,2.0568104169797152
47,1.3608920387923717,1.332926332950592,2.097798707894981
48,1.3341799229383469,1.277842789888382,2.138157707871869
49,1.2863672003149986,1.23924121260643,2.182488374877721
50,1.2411972433328629,1.1975911855697632,2.223247457994148
51,1.217526014894247,1.1922133564949036,2.2631683328654617
52,1.2261443734169006,1.1683829426765442,2.3044213328976184
53,1.1868529878556728,1.1423676013946533,2.3448264999315143
54,1.1962589137256145,1.110223799943924,2.3840611667837948
55,1.1227166131138802,1.1323822438716888,2.4276611669920385
56,1.1296282261610031,1.134308397769928,2.4664435419254005
57,1.085448943078518,1.1160203218460083,2.5060961248818785
58,1.0819981582462788,1.0400499999523163,2.5471879998221993
59,1.0253837257623672,1.0352350026369095,2.587981207994744
60,1.0103038027882576,1.0442254394292831,2.6273472500033677
61,1.0049021057784557,0.9736515879631042,2.66719154198654
62,0.985742773860693,0.9878917187452316,2.7105434997938573
63,1.0282935239374638,0.9603501558303833,2.750266166869551
64,0.9851182512938976,0.9481450319290161,2.790908832801506
65,0.967071458697319,0.9343080520629883,2.8307790828403085
66,0.956879410892725,0.9178524017333984,2.8714555827900767
67,0.9202017150819302,0.9034420251846313,2.911822750000283
68,0.907471913844347,0.8854275047779083,2.9566580827813596
69,0.914755966514349,0.90554378926754,2.9967907078098506
70,0.9118660278618336,0.8780376613140106,3.037396957864985
71,0.8900015763938427,0.8643840551376343,3.0772207078989595
72,0.8565168641507626,0.876633957028389,3.1153537079226226
73,0.8623731434345245,0.8855941295623779,3.1551660418044776
74,0.8613194152712822,0.8333211243152618,3.1995925419032574
75,0.8444098122417927,0.8461973965167999,3.2389456247910857
76,0.8999621793627739,0.8387212455272675,3.2792635827790946
77,0.8743439354002476,0.8159446269273758,3.318391207838431
78,0.8347618877887726,0.8092747330665588,3.357739874860272
79,0.8445427231490612,0.7737140357494354,3.398292457917705
80,0.8031587824225426,0.7624444365501404,3.4422557919751853
81,0.7929757460951805,0.7574927359819412,3.4832344169262797
82,0.8155007027089596,0.7698412835597992,3.5237291248049587
83,0.7553036157041788,0.736814334988594,3.5633853748440742
84,0.7866823561489582,0.7425280064344406,3.603793666930869
85,0.7642943896353245,0.7216285467147827,3.643590541789308
86,0.7612589672207832,0.7664438337087631,3.688144499901682
87,0.7830245234072208,0.711868166923523,3.729027207940817
88,0.7561509385704994,0.704804316163063,3.7689964999444783
89,0.7066634129732847,0.6887119263410568,3.810749082826078
90,0.7174429185688496,0.6932055950164795,3.851073957979679
