tool_id,qw,qx,qy,qz,x,y,z
0B,0.448941935,-0.449341973,0.716566934,-0.288226923,80.010000000,11.530000000,-253.730000000
0B,0.449240752,-0.435139473,0.710364440,-0.322829285,79.860000000,11.990000000,-254.530000000
0B,0.454932558,-0.421130139,0.700150108,-0.354225351,79.850000000,12.290000000,-255.530000000
0B,0.458931369,-0.416828491,0.692747351,-0.368425183,79.830000000,12.350000000,-255.970000000
0B,0.466333878,-0.412629977,0.675149048,-0.395528734,79.880000000,12.340000000,-257.150000000
0B,0.469527212,-0.419224297,0.650237686,-0.425424656,79.950000000,12.260000000,-258.180000000
0B,0.466154515,-0.435150890,0.619372434,-0.457953556,79.850000000,11.750000000,-259.220000000
0B,0.480040179,-0.444337190,0.595449838,-0.466439040,79.830000000,11.110000000,-260.200000000
0B,0.490247064,-0.447842993,0.585356194,-0.465244663,79.890000000,10.810000000,-260.710000000
0B,0.530163565,-0.441152893,0.577469237,-0.436852377,79.690000000,9.940000000,-261.350000000
0B,0.556247366,-0.444137820,0.564648082,-0.417735572,79.870000000,9.320000000,-262.100000000
0B,0.575055464,-0.451343532,0.554153448,-0.398138400,79.700000000,8.470000000,-262.290000000
0B,0.584260483,-0.454447045,0.550957035,-0.385439901,79.890000000,8.280000000,-262.700000000
0B,0.602343388,-0.460033137,0.550739671,-0.349625184,79.900000000,7.610000000,-262.730000000
0B,0.619647089,-0.461935104,0.558442438,-0.301322898,80.030000000,7.280000000,-262.630000000
0B,0.623068118,-0.471251520,0.564461710,-0.266629149,80.060000000,6.720000000,-262.270000000
0B,0.622768216,-0.476852232,0.574662946,-0.233525579,80.230000000,6.520000000,-261.640000000
0B,0.617549915,-0.481138890,0.588047531,-0.203316434,80.230000000,6.390000000,-260.830000000
0B,0.609148603,-0.480138309,0.604048196,-0.183114610,80.310000000,6.430000000,-260.090000000
0B,0.604675710,-0.477059732,0.613876862,-0.173021664,80.250000000,6.540000000,-259.750000000
0B,0.594464571,-0.468450884,0.635869069,-0.151116414,80.290000000,6.850000000,-258.710000000
0B,0.582432102,-0.459225311,0.657636247,-0.131907270,80.360000000,7.210000000,-257.620000000
0B,0.569362354,-0.449749255,0.678674326,-0.113812464,80.460000000,7.590000000,-256.720000000
0B,0.558838760,-0.435630214,0.699348505,-0.094006520,80.620000000,7.880000000,-255.710000000
0B,0.555966092,-0.423850386,0.710184425,-0.083009868,80.570000000,8.040000000,-255.380000000
0B,0.549951846,-0.407438411,0.725068355,-0.076307194,80.690000000,8.680000000,-254.810000000
0B,0.542840329,-0.397929563,0.734154542,-0.089406642,80.590000000,9.160000000,-254.550000000
0B,0.539636432,-0.379925650,0.744050233,-0.104107029,80.280000000,9.900000000,-254.480000000
0B,0.534353336,-0.367236656,0.750374899,-0.128612837,80.170000000,10.560000000,-254.400000000
0B,0.530846159,-0.362731541,0.752465430,-0.142912427,80.090000000,10.900000000,-254.320000000
0B,0.525349687,-0.355233598,0.753671282,-0.172616326,80.040000000,11.430000000,-254.370000000
0B,0.522047297,-0.353532030,0.749067865,-0.203418430,79.910000000,11.850000000,-254.790000000
0B,0.523731448,-0.358321516,0.735844185,-0.236314190,79.840000000,11.950000000,-255.380000000
0B,0.531663665,-0.365443761,0.713685462,-0.272832671,79.610000000,11.780000000,-256.660000000
0B,0.549349339,-0.366732938,0.686061618,-0.305027396,79.630000000,11.570000000,-258.160000000
0B,0.567453874,-0.366834827,0.657762448,-0.332831599,79.580000000,11.230000000,-259.730000000
0B,0.586378985,-0.364449091,0.634685492,-0.347146760,79.760000000,10.870000000,-260.880000000
0B,0.594365969,-0.364540461,0.625269399,-0.350538907,79.830000000,10.830000000,-261.500000000
0B,0.608253571,-0.367932405,0.611453853,-0.347530608,79.870000000,10.460000000,-262.070000000
0B,0.621036102,-0.376421882,0.604335131,-0.327719051,79.810000000,9.800000000,-262.360000000
0B,0.630359398,-0.390736819,0.601156647,-0.297628045,79.880000000,9.210000000,-262.390000000
0B,0.635750366,-0.408132334,0.601147625,-0.260520639,79.780000000,8.390000000,-262.240000000
0B,0.636675482,-0.424750357,0.603471546,-0.223726524,79.880000000,7.590000000,-261.760000000
0B,0.635522987,-0.431615612,0.606321931,-0.205407430,79.910000000,7.300000000,-261.510000000
0B,0.630850047,-0.441134997,0.615048794,-0.170713543,80.130000000,7.010000000,-260.990000000
0B,0.622946118,-0.443632843,0.630446674,-0.132909840,80.350000000,6.760000000,-260.010000000
0B,0.610431392,-0.441322696,0.650933475,-0.094304850,80.600000000,6.630000000,-258.890000000
0B,0.593019573,-0.436314401,0.674122250,-0.059301957,80.860000000,6.660000000,-257.510000000
0B,0.574921730,-0.428816207,0.696026307,-0.033601270,81.120000000,6.900000000,-256.180000000
0B,0.566633279,-0.423524874,0.706341485,-0.025201480,81.220000000,7.040000000,-255.710000000
0B,0.553971060,-0.409952586,0.724392920,-0.017602258,81.340000000,7.600000000,-254.720000000
0B,0.545268888,-0.394149796,0.739393413,-0.025003159,81.210000000,8.250000000,-254.260000000
0B,0.538948664,-0.379634279,0.750667781,-0.043703946,80.890000000,9.070000000,-253.950000000
0B,0.535859687,-0.364440594,0.758284462,-0.071007909,80.570000000,9.890000000,-253.900000000
0B,0.533635325,-0.348423065,0.764050578,-0.100306640,80.400000000,10.840000000,-253.910000000
0B,0.530646633,-0.335329468,0.767267427,-0.131411548,80.170000000,11.520000000,-254.130000000
0B,0.529658464,-0.329836408,0.767384705,-0.147616294,80.110000000,11.780000000,-254.200000000
0B,0.529155964,-0.321634016,0.763480746,-0.183419399,79.970000000,12.320000000,-254.640000000
0B,0.531220176,-0.317612063,0.752228570,-0.226008584,79.870000000,12.560000000,-255.390000000
0B,0.537340232,-0.316323684,0.734855021,-0.266819978,79.870000000,12.870000000,-256.380000000
0B,0.546458559,-0.319234209,0.712576360,-0.302832452,79.850000000,12.820000000,-257.670000000
0B,0.558140154,-0.327123534,0.685149291,-0.334724081,79.910000000,12.780000000,-259.080000000
0B,0.572530677,-0.338318128,0.653935039,-0.360719328,79.980000000,12.050000000,-260.480000000
0B,0.581848461,-0.343328595,0.637753117,-0.369930811,80.000000000,11.680000000,-261.290000000
0B,0.602777263,-0.354345419,0.606277712,-0.378848560,80.040000000,11.000000000,-262.610000000
0B,0.623362542,-0.366936815,0.578658057,-0.376737798,80.290000000,10.140000000,-263.730000000
0B,0.640292263,-0.381354951,0.557380316,-0.365952732,80.360000000,9.290000000,-264.430000000
0B,0.649321886,-0.399213456,0.546118407,-0.347511713,80.340000000,8.580000000,-264.790000000
0B,0.654939736,-0.417825350,0.546633165,-0.312518961,80.420000000,7.780000000,-264.670000000
0B,0.657175645,-0.425148937,0.551363466,-0.288733235,80.400000000,7.480000000,-264.300000000
0B,0.656528166,-0.439118839,0.563324167,-0.242510404,80.380000000,6.950000000,-263.540000000
0B,0.649698914,-0.450468582,0.580088316,-0.196129860,80.350000000,6.510000000,-262.410000000
0B,0.636772466,-0.458052127,0.600668357,-0.154617596,80.410000000,6.230000000,-261.310000000
0B,0.617554310,-0.463540766,0.624154891,-0.119110475,80.700000000,6.160000000,-259.840000000
0B,0.594957934,-0.460044797,0.654563738,-0.077007499,80.990000000,6.310000000,-258.110000000
0B,0.571367785,-0.448853251,0.686081395,-0.036904378,81.420000000,6.470000000,-256.370000000
0B,0.559350875,-0.441440151,0.701363792,-0.018601692,81.590000000,6.710000000,-255.460000000
0B,0.536737836,-0.424329912,0.729251407,0.007000493,81.910000000,7.130000000,-253.990000000
0B,0.519256140,-0.408344148,0.750581150,0.016001730,82.150000000,7.750000000,-252.860000000
0B,0.509559630,-0.393246018,0.765289556,0.006200726,82.070000000,8.410000000,-252.300000000
0B,0.506411336,-0.377508451,0.775117351,-0.015100338,81.650000000,9.330000000,-252.190000000
0B,0.507545044,-0.362532174,0.780169239,-0.048004260,81.270000000,10.230000000,-252.400000000
0B,0.510734420,-0.347123393,0.781652677,-0.087605904,80.850000000,11.240000000,-252.780000000
0B,0.512619957,-0.339513218,0.780830398,-0.110704310,80.640000000,11.600000000,-253.130000000
0B,0.515856546,-0.324735596,0.776485115,-0.159717508,80.260000000,12.410000000,-253.780000000
0B,0.519126751,-0.311816068,0.768039578,-0.208310735,80.060000000,12.940000000,-254.650000000
0B,0.523436472,-0.301220988,0.756352701,-0.251417518,80.010000000,13.450000000,-255.690000000
0B,0.526555694,-0.296731385,0.742278511,-0.289330603,80.120000000,13.810000000,-256.470000000
0B,0.531036183,-0.293219979,0.728049607,-0.319321758,80.180000000,13.850000000,-257.320000000
0B,0.537053418,-0.290428887,0.712670886,-0.345434359,80.310000000,14.030000000,-258.120000000
0B,0.541050388,-0.292927280,0.693564591,-0.374734899,80.500000000,14.070000000,-259.130000000
0B,0.542338497,-0.294520906,0.682748463,-0.391127763,80.650000000,14.030000000,-259.520000000
0B,0.541438257,-0.301821326,0.657546461,-0.428230258,80.870000000,14.050000000,-260.530000000
0B,0.541522755,-0.307912939,0.631326529,-0.461919410,81.150000000,13.950000000,-261.750000000
0B,0.549865025,-0.311736865,0.607971897,-0.480456817,81.580000000,13.780000000,-262.620000000
0B,0.575854012,-0.333931321,0.569153383,-0.482645269,81.350000000,12.300000000,-264.000000000
0B,0.592293157,-0.344954255,0.556587541,-0.469473840,81.130000000,11.500000000,-264.490000000
0B,0.603258685,-0.354634499,0.549353441,-0.456644422,81.080000000,10.980000000,-264.670000000
0B,0.606172957,-0.358443141,0.548866060,-0.450354203,80.990000000,10.820000000,-264.760000000
0B,0.607742513,-0.363425422,0.551738595,-0.440630823,80.830000000,10.370000000,-264.540000000
0B,0.606447735,-0.364528693,0.557943917,-0.433634133,80.760000000,10.490000000,-264.230000000
0B,0.603900736,-0.365160912,0.564094096,-0.428671506,80.660000000,10.440000000,-263.850000000
0B,0.602249609,-0.365930143,0.568546833,-0.424434962,80.610000000,10.660000000,-263.900000000
0B,0.601365531,-0.366939986,0.570162131,-0.422646056,80.540000000,10.560000000,-263.720000000
0B,0.600651748,-0.370731940,0.573749431,-0.415435791,80.560000000,10.520000000,-263.440000000
0B,0.599372427,-0.372845054,0.574069369,-0.414950141,80.440000000,10.520000000,-263.410000000
0B,0.598278769,-0.373149128,0.577376017,-0.411654198,80.450000000,10.600000000,-263.310000000
0B,0.596652863,-0.373533095,0.578251232,-0.412436541,80.310000000,10.480000000,-263.220000000
0B,0.595539298,-0.371324503,0.580538308,-0.412827241,80.410000000,10.700000000,-263.200000000
0B,0.593663923,-0.369239758,0.581562620,-0.415944787,80.320000000,10.680000000,-263.120000000
0B,0.593058431,-0.365636024,0.581657308,-0.419841365,80.510000000,10.890000000,-263.110000000
0B,0.592135544,-0.363621827,0.581334896,-0.423325411,80.490000000,11.030000000,-263.350000000
0B,0.592351715,-0.361331546,0.581950807,-0.424137029,80.590000000,11.080000000,-263.340000000
0B,0.590402399,-0.361962779,0.583001116,-0.424873690,80.440000000,10.960000000,-263.190000000
