tool_id,qw,qx,qy,qz,x,y,z
0B,0.328338456,-0.608471265,0.474655593,-0.544663792,79.980000000,-9.530000000,-221.700000000
0B,0.328231339,-0.608458095,0.474645319,-0.544752013,80.000000000,-9.520000000,-221.690000000
0B,0.328231339,-0.608458095,0.474645319,-0.544752013,80.020000000,-9.480000000,-221.700000000
0B,0.328251313,-0.608395106,0.474674202,-0.544785162,80.020000000,-9.470000000,-221.700000000
0B,0.328028274,-0.608552453,0.474440894,-0.544946971,80.000000000,-9.490000000,-221.730000000
0B,0.327925543,-0.608447394,0.474536963,-0.545042455,79.990000000,-9.500000000,-221.720000000
0B,0.327943181,-0.608380108,0.474462474,-0.545171785,79.990000000,-9.500000000,-221.690000000
0B,0.327639362,-0.608273076,0.474356988,-0.545565543,79.980000000,-9.520000000,-221.690000000
0B,0.327020673,-0.608038438,0.474429992,-0.546134525,79.960000000,-9.540000000,-221.690000000
0B,0.326756733,-0.607905548,0.474482382,-0.546394868,79.950000000,-9.530000000,-221.700000000
0B,0.326324903,-0.607146333,0.475236267,-0.546841731,79.940000000,-9.500000000,-221.680000000
0B,0.325317810,-0.606133184,0.476426083,-0.547529975,79.950000000,-9.440000000,-221.700000000
0B,0.325732384,-0.601259777,0.483048025,-0.546854368,79.870000000,-9.370000000,-221.760000000
0B,0.319833084,-0.597861843,0.487550432,-0.550056898,79.970000000,-8.880000000,-221.660000000
0B,0.315138413,-0.594272437,0.492360015,-0.552367329,80.010000000,-8.590000000,-221.670000000
0B,0.314050261,-0.591394648,0.496479458,-0.552388406,80.080000000,-8.440000000,-221.470000000
0B,0.310114994,-0.589828519,0.502624302,-0.550726628,80.040000000,-8.340000000,-221.380000000
0B,0.304013090,-0.588025318,0.511022003,-0.548323609,80.120000000,-7.920000000,-221.080000000
0B,0.285313760,-0.588928402,0.516424905,-0.552326637,80.080000000,-7.560000000,-220.610000000
0B,0.277544502,-0.586294008,0.522483777,-0.553388732,80.160000000,-6.950000000,-220.930000000
0B,0.262731331,-0.587770093,0.533763652,-0.548265382,80.290000000,-6.550000000,-220.110000000
0B,0.254730776,-0.595271919,0.546566035,-0.531064162,80.470000000,-6.350000000,-219.190000000
0B,0.254120632,-0.605149131,0.555945136,-0.510041409,80.510000000,-6.630000000,-218.270000000
0B,0.255721166,-0.610250509,0.557546147,-0.501341495,80.400000000,-6.870000000,-217.930000000
0B,0.256915633,-0.619137673,0.553533681,-0.494230072,80.390000000,-7.120000000,-217.840000000
0B,0.257418981,-0.623846001,0.548340433,-0.493836414,80.380000000,-7.330000000,-217.970000000
0B,0.259323497,-0.627556862,0.545349414,-0.491444529,80.330000000,-7.410000000,-217.790000000
0B,0.271244461,-0.637504496,0.538088200,-0.480078691,80.330000000,-8.160000000,-217.600000000
0B,0.284436267,-0.654483449,0.519866285,-0.469559870,80.390000000,-9.140000000,-217.580000000
0B,0.302629297,-0.666364511,0.501348535,-0.461544682,80.370000000,-10.150000000,-217.850000000
0B,0.327041699,-0.670485489,0.489662433,-0.451357549,80.290000000,-11.110000000,-218.330000000
0B,0.341936427,-0.666370989,0.490152216,-0.445847496,80.300000000,-11.510000000,-218.570000000
0B,0.389027075,-0.643444782,0.509135435,-0.418829149,80.210000000,-11.780000000,-219.190000000
0B,0.437419577,-0.619227714,0.522223373,-0.390517478,80.240000000,-12.490000000,-220.190000000
0B,0.449941779,-0.613156934,0.519248214,-0.389836198,80.190000000,-12.660000000,-220.620000000
0B,0.468049869,-0.597463657,0.514054770,-0.399642580,80.270000000,-12.470000000,-221.590000000
0B,0.480455224,-0.581566846,0.507458328,-0.416447867,80.130000000,-12.490000000,-222.680000000
0B,0.484050138,-0.575059565,0.504152220,-0.425244047,80.110000000,-12.370000000,-223.050000000
0B,0.484238503,-0.561544650,0.500339784,-0.447035545,80.170000000,-11.830000000,-223.660000000
0B,0.470440888,-0.543647250,0.503543765,-0.479141644,80.230000000,-10.800000000,-224.150000000
0B,0.436343071,-0.527552075,0.512450584,-0.518351166,80.150000000,-9.600000000,-224.280000000
0B,0.411123509,-0.521329810,0.516529536,-0.540730920,80.280000000,-8.550000000,-224.290000000
0B,0.354120839,-0.513430214,0.522530749,-0.581334210,80.620000000,-6.760000000,-224.050000000
0B,0.312024075,-0.508839261,0.532041051,-0.600546337,80.740000000,-5.510000000,-223.560000000
0B,0.271634823,-0.511965633,0.539269133,-0.610978326,81.020000000,-4.520000000,-222.910000000
0B,0.250020435,-0.517742317,0.540944213,-0.613850172,81.000000000,-4.190000000,-222.590000000
0B,0.204619514,-0.537751285,0.540151514,-0.614158572,81.050000000,-3.640000000,-221.530000000
0B,0.168116737,-0.560555806,0.540053765,-0.604860217,81.190000000,-3.470000000,-220.310000000
