tool_id,qw,qx,qy,qz,x,y,z
0B,0.574859688,-0.323133551,0.700372720,-0.273128359,78.730000000,-46.710000000,-260.590000000
0B,0.575441160,-0.322323055,0.700350094,-0.272919521,78.830000000,-46.550000000,-260.580000000
0B,0.574669772,-0.325539525,0.698784841,-0.274733356,78.870000000,-46.590000000,-260.840000000
0B,0.575473331,-0.323241190,0.700089211,-0.272434716,78.750000000,-46.680000000,-260.600000000
0B,0.577540140,-0.323322472,0.698548551,-0.271918899,78.710000000,-46.780000000,-260.750000000
0B,0.578669893,-0.324939247,0.697284220,-0.270832712,78.720000000,-46.770000000,-260.850000000
0B,0.579235951,-0.325520204,0.696743245,-0.270316778,78.650000000,-46.850000000,-260.870000000
0B,0.579843939,-0.327024781,0.695452700,-0.270520499,78.670000000,-46.900000000,-260.830000000
0B,0.580339409,-0.327222221,0.694947192,-0.270518370,78.710000000,-46.980000000,-260.790000000
0B,0.580137034,-0.327220889,0.694844357,-0.271217314,78.710000000,-46.840000000,-260.850000000
0B,0.579841086,-0.327023172,0.694949242,-0.271819260,78.770000000,-46.850000000,-260.870000000
0B,0.579658070,-0.326732732,0.695469672,-0.271227172,78.690000000,-46.910000000,-260.800000000
0B,0.575276433,-0.325443240,0.698092751,-0.275336582,78.720000000,-46.660000000,-260.730000000
0B,0.570824886,-0.324214134,0.701330575,-0.277812111,78.690000000,-46.580000000,-260.540000000
0B,0.568432458,-0.323418468,0.703240156,-0.278815921,78.770000000,-46.400000000,-260.500000000
0B,0.562264121,-0.323036840,0.707280659,-0.281532106,78.690000000,-46.320000000,-260.260000000
0B,0.554629959,-0.326017610,0.710938402,-0.284015342,78.720000000,-46.270000000,-259.940000000
0B,0.545840541,-0.332524698,0.714953102,-0.283421050,78.810000000,-46.170000000,-259.590000000
0B,0.529665497,-0.344642618,0.722789378,-0.279734591,78.760000000,-46.200000000,-258.870000000
0B,0.514571008,-0.356949257,0.728200488,-0.278438423,78.770000000,-46.220000000,-258.470000000
0B,0.510038953,-0.350626778,0.745156910,-0.248318965,78.970000000,-46.210000000,-257.620000000
0B,0.502733938,-0.355624007,0.750550668,-0.239716183,79.110000000,-46.190000000,-257.070000000
0B,0.498819267,-0.360513925,0.758529299,-0.214108270,79.170000000,-46.470000000,-256.570000000
0B,0.500647346,-0.364734493,0.762972154,-0.184917488,79.220000000,-47.130000000,-256.230000000
0B,0.502423140,-0.377417382,0.760435023,-0.163907549,79.340000000,-47.900000000,-256.060000000
0B,0.504956222,-0.385642938,0.756484228,-0.155017260,79.430000000,-48.210000000,-256.100000000
0B,0.513259929,-0.399046593,0.747087231,-0.138516173,79.390000000,-49.120000000,-256.380000000
0B,0.525426393,-0.409820586,0.735336937,-0.123506204,79.500000000,-49.960000000,-256.910000000
0B,0.531946784,-0.414036414,0.729564164,-0.115510159,79.450000000,-50.330000000,-257.200000000
0B,0.545743470,-0.421233553,0.717457148,-0.099907958,79.540000000,-51.160000000,-257.660000000
0B,0.556134440,-0.435926996,0.701343432,-0.093805809,79.670000000,-51.970000000,-258.290000000
0B,0.558755783,-0.450244950,0.689468833,-0.098509835,79.730000000,-52.440000000,-258.600000000
0B,0.567353555,-0.471344492,0.666862948,-0.106010007,79.760000000,-53.230000000,-259.150000000
0B,0.582759879,-0.473548657,0.651666959,-0.107111006,79.910000000,-53.660000000,-260.070000000
0B,0.599240603,-0.468531746,0.639443327,-0.111807576,79.840000000,-53.890000000,-260.910000000
0B,0.606651103,-0.466239275,0.632853311,-0.118710000,79.770000000,-53.910000000,-261.360000000
0B,0.622259821,-0.456443880,0.621359734,-0.135513027,79.650000000,-53.500000000,-262.230000000
0B,0.633116534,-0.448011700,0.608015879,-0.169604429,79.800000000,-53.310000000,-263.380000000
0B,0.638628931,-0.435419725,0.599827173,-0.206809369,79.440000000,-52.600000000,-263.940000000
0B,0.639664657,-0.428843348,0.596860331,-0.225122755,79.360000000,-52.010000000,-264.150000000
0B,0.636168220,-0.420645108,0.591963480,-0.260627949,79.200000000,-51.330000000,-264.120000000
0B,0.632654825,-0.407835343,0.595351592,-0.281024353,79.100000000,-50.660000000,-264.360000000
0B,0.624126810,-0.397217063,0.601225826,-0.302012973,78.980000000,-49.940000000,-264.160000000
0B,0.608888655,-0.390756894,0.609288713,-0.324547254,78.980000000,-49.220000000,-263.850000000
0B,0.600579092,-0.387451025,0.614980989,-0.333143873,78.920000000,-48.820000000,-263.690000000
0B,0.582150728,-0.382633342,0.628454763,-0.346030153,78.800000000,-48.110000000,-262.960000000
0B,0.560352723,-0.384536181,0.645060693,-0.349332869,78.790000000,-47.590000000,-262.030000000
0B,0.550070683,-0.385449530,0.654584113,-0.346944582,78.810000000,-47.400000000,-261.540000000
0B,0.528477552,-0.386756755,0.674298951,-0.341250077,78.760000000,-46.900000000,-260.540000000
0B,0.502026345,-0.394420698,0.691236274,-0.338517764,78.720000000,-46.490000000,-259.400000000
0B,0.476452579,-0.404444633,0.706377953,-0.332336675,78.820000000,-46.250000000,-258.310000000
0B,0.466240691,-0.408335637,0.713762293,-0.326228471,78.900000000,-46.110000000,-257.730000000
0B,0.449240845,-0.416237844,0.727066104,-0.310328215,78.970000000,-46.010000000,-256.740000000
0B,0.439232792,-0.424531695,0.737255042,-0.288621548,79.180000000,-46.030000000,-255.930000000
0B,0.433644750,-0.437145111,0.740376403,-0.269627824,79.460000000,-46.480000000,-255.370000000
0B,0.432332783,-0.446333845,0.738956033,-0.260419747,79.490000000,-46.770000000,-255.210000000
