tool_id,qw,qx,qy,qz,x,y,z
0B,0.716796530,0.091112270,0.644386779,0.250333712,79.230000000,11.280000000,-246.910000000
0B,0.716659980,0.091607667,0.645554029,0.247520716,79.260000000,11.330000000,-246.830000000
0B,0.715746532,0.090705897,0.644641910,0.252816436,79.170000000,11.090000000,-246.880000000
0B,0.715266548,0.090208393,0.643459867,0.257323941,79.300000000,11.180000000,-246.920000000
0B,0.715754976,0.088106767,0.643049391,0.257719795,79.200000000,10.940000000,-246.960000000
0B,0.716769713,0.087208482,0.644062641,0.252624570,79.240000000,11.140000000,-246.910000000
0B,0.717562420,0.089307769,0.645256130,0.246521445,79.280000000,11.390000000,-246.880000000
0B,0.717253993,0.089406730,0.646648678,0.243718347,79.230000000,11.340000000,-246.870000000
0B,0.714769758,0.089608745,0.649663404,0.242923708,79.300000000,11.360000000,-246.720000000
0B,0.710649740,0.091406398,0.652345659,0.247117296,79.270000000,11.290000000,-246.590000000
0B,0.709180858,0.092010491,0.653474507,0.248128291,79.320000000,11.390000000,-246.510000000
0B,0.705884980,0.090810932,0.656479032,0.250030100,79.250000000,11.130000000,-246.280000000
0B,0.701164601,0.093308597,0.659260740,0.255023496,79.210000000,11.110000000,-246.130000000
0B,0.694859191,0.094408042,0.665056652,0.256821877,79.160000000,11.070000000,-245.870000000
0B,0.673155709,0.098008111,0.687256876,0.254821089,79.190000000,11.020000000,-244.790000000
0B,0.666783600,0.097012163,0.692986885,0.256432151,79.310000000,10.800000000,-244.500000000
0B,0.634088344,0.079811120,0.706398419,0.304242388,79.350000000,9.070000000,-243.910000000
0B,0.625887990,0.072410180,0.706799365,0.321645218,79.410000000,8.370000000,-243.800000000
0B,0.615871969,0.055906533,0.700781891,0.355641559,79.440000000,7.010000000,-244.220000000
0B,0.616621946,0.039001388,0.685524398,0.385113706,79.680000000,6.010000000,-244.980000000
0B,0.618873112,0.030503604,0.675179764,0.400247284,79.740000000,5.440000000,-245.470000000
0B,0.626416259,0.013000337,0.650216877,0.429711153,79.950000000,4.560000000,-246.600000000
0B,0.639684297,0.003400448,0.622582043,0.450759400,80.110000000,4.120000000,-247.740000000
0B,0.658058708,0.003900348,0.597153274,0.458640917,80.290000000,4.350000000,-249.000000000
0B,0.668737200,0.006400356,0.586332616,0.457125428,80.220000000,4.640000000,-249.230000000
0B,0.718842783,0.029101732,0.556633129,0.415424725,80.120000000,6.750000000,-250.570000000
0B,0.740378244,0.041004333,0.547057813,0.388441051,80.070000000,7.880000000,-250.930000000
0B,0.751056053,0.048303605,0.542340476,0.373427870,80.040000000,8.370000000,-251.040000000
0B,0.769688258,0.063807317,0.533861216,0.344239473,80.150000000,9.630000000,-251.280000000
0B,0.791158192,0.090506657,0.523038471,0.303822347,80.290000000,11.480000000,-251.560000000
0B,0.802096695,0.109113154,0.523363093,0.266132083,80.510000000,12.920000000,-251.250000000
0B,0.803091522,0.124614201,0.531260543,0.239327274,80.540000000,13.780000000,-250.750000000
0B,0.795574712,0.142513383,0.543751063,0.226021226,80.490000000,14.310000000,-250.110000000
0B,0.790898002,0.149918577,0.552768495,0.215526706,80.380000000,14.550000000,-249.600000000
0B,0.779769075,0.161514308,0.573150772,0.193317125,80.440000000,15.140000000,-248.740000000
0B,0.767780268,0.172718057,0.591561845,0.175318329,80.520000000,15.760000000,-247.860000000
0B,0.760959700,0.178013966,0.601047154,0.167313126,80.550000000,15.980000000,-247.340000000
0B,0.745189704,0.186622465,0.619574583,0.161219407,80.470000000,16.090000000,-246.440000000
0B,0.726143908,0.196511882,0.636038459,0.171910395,80.400000000,15.950000000,-245.460000000
0B,0.707091560,0.209627144,0.648283945,0.189224502,80.250000000,15.630000000,-244.660000000
