model_key,label,status,reason,sample_count,position_rmse_mm,mean_position_error_mm,max_position_error_mm,tangent_mean_error_deg,tangent_rmse_deg,tangent_max_error_deg,axis_position_rmse_mm,axis_tangent_rmse
mike,Mike,completed,,8192,24.47676411263415,23.350103823413242,38.12270695416539,38.914342719759375,40.96509432248879,65.06325122841135,"[15.629920140895125, 16.721460851617394, 8.672388644577843]","[0.4063510427218277, 0.41774956561515403, 0.37919204937789414]"
camarillo,Camarillo,completed,,8192,24.517659620322192,23.388689805030126,38.19009488045244,38.98544210622589,41.04076794249791,65.19288630603988,"[15.659472576362468, 16.751067896604074, 8.677457934872951]","[0.4072606961552242, 0.4186641747592041, 0.379428621191024]"
ann,ANN,completed,,8192,2.376628297078974,2.274834817209057,4.4645945696621245,,,,"[0.9562604462184277, 1.8312773226597012, 1.1748835640126]",[]
