artifact_subdir,hidden_layers,model_key,model_label,test_loss,test_position_error_l2_max_mm,test_position_error_l2_mean_mm,test_position_error_l2_median_mm,test_position_error_l2_p95_mm,test_position_rmse_xy_mm,test_position_rmse_xyz_mm,test_position_rmse_z_mm,test_tangent_angular_error_mean_rad,test_tangent_angular_error_median_rad,training_wall_time_s,validation_loss_mean
linear_ridge_full_pose,[],linear_ridge_full_pose,linear_ridge,6.631205081939697,13.979542464805505,5.504611308683827,5.125962180196019,9.453423736031219,3.5057232240583955,5.929205658559745,4.781776282700239,0.11181790181004218,0.1123955481822051,0.4537734999321401,6.252733111381531
ann_32_32,"[32, 32]",legacy_ann_ann_32_32,"ANN [32, 32]",1.5005578696727753,10.401012616868378,2.5650486300375803,2.4533473251736853,4.4633409275367715,2.617693750955609,2.8940746899342313,1.2342397405390382,0.05866529002298022,0.05371104681264777,10.756057624937966,1.3950320184230804
ann_64_64,"[64, 64]",legacy_ann_ann_64_64,"ANN [64, 64]",0.6437034159898758,8.359194070130096,1.6362515152242767,1.3799035269341506,3.195550461492272,1.7332723165620876,1.9292311852833257,0.8471717906712902,0.034144870611254444,0.028652050250411613,10.689457833068445,0.5927845314145088
ann_128_128,"[128, 128]",legacy_ann_ann_128_128,"ANN [128, 128]",0.29054997861385345,7.782966992420397,0.9950455584208583,0.7544146419725315,2.292229583954338,1.2580579175037359,1.3145378749634913,0.3811825034280756,0.022754695526489496,0.01932324279364791,10.548107874812558,0.24259653314948082
ann_48_48,"[48, 48]",legacy_ann_ann_48_48,"ANN [48, 48]",1.1267160773277283,11.33774199718678,2.173292374826857,1.840901327953594,4.00087458619539,2.3228706183603873,2.5233698680923067,0.9857320029065795,0.0439882048031609,0.03580415289208615,10.017639457946643,1.0535816848278046
