tool_id,qw,qx,qy,qz,x,y,z
0B,0.144916789,0.684579310,0.029403406,0.713782693,79.810000000,-6.470000000,-126.070000000
0B,0.141501792,0.683708659,0.029200370,0.715309059,79.850000000,-6.480000000,-126.140000000
0B,0.139914365,0.682470069,0.029903070,0.716773591,79.850000000,-6.590000000,-126.240000000
0B,0.136614494,0.682172376,0.030303215,0.717676142,79.870000000,-6.700000000,-126.270000000
0B,0.134110609,0.682754011,0.031202468,0.717556765,79.880000000,-6.780000000,-126.270000000
0B,0.121909584,0.685653901,0.029102288,0.717056370,79.950000000,-6.980000000,-126.210000000
0B,0.112906585,0.688140137,0.026701557,0.716241776,80.000000000,-7.110000000,-126.180000000
0B,0.088006044,0.694747710,0.016901161,0.713649008,80.110000000,-7.450000000,-126.050000000
0B,0.063304552,0.700350357,0.007100511,0.710951119,80.210000000,-7.750000000,-125.950000000
0B,0.055603206,0.701840462,0.005300306,0.710140941,80.270000000,-7.890000000,-125.970000000
0B,0.048702426,0.701534951,0.006900344,0.710935420,80.330000000,-8.050000000,-126.030000000
0B,0.055603111,0.698539084,0.015500867,0.713239907,80.340000000,-8.120000000,-126.100000000
0B,0.058001102,0.697113242,0.016800319,0.714413570,80.280000000,-8.180000000,-126.130000000
0B,0.061205941,0.693167286,0.017101660,0.717969693,80.280000000,-8.110000000,-126.350000000
0B,0.061503050,0.691134271,0.015600774,0.719935699,80.270000000,-8.040000000,-126.430000000
0B,0.050604754,0.689964815,-0.002400225,0.722067831,80.170000000,-7.950000000,-126.670000000
0B,0.048503519,0.685649742,-0.015301110,0.726152681,80.110000000,-7.780000000,-126.990000000
0B,0.051905837,0.681776667,-0.018502081,0.729482031,80.060000000,-7.560000000,-127.130000000
0B,0.080605013,0.669441637,-0.014000871,0.738345923,79.930000000,-7.190000000,-127.680000000
0B,0.109007079,0.657442692,-0.013900903,0.745448407,79.820000000,-6.610000000,-128.080000000
0B,0.122412512,0.652166661,-0.015001533,0.747976455,79.780000000,-6.220000000,-128.220000000
0B,0.155113164,0.642454524,-0.012101027,0.750363682,79.730000000,-5.620000000,-128.500000000
0B,0.183604075,0.637014139,-0.008700193,0.748616616,79.690000000,-5.060000000,-128.560000000
0B,0.207311301,0.635834660,-0.005700311,0.743440526,79.670000000,-4.530000000,-128.390000000
0B,0.220717771,0.635751186,-0.002800225,0.739659552,79.640000000,-4.310000000,-128.230000000
0B,0.248911293,0.635528835,0.005400245,0.730833159,79.670000000,-3.740000000,-128.010000000
0B,0.280124134,0.633754600,0.015601344,0.720862105,79.750000000,-3.090000000,-127.840000000
0B,0.298330218,0.632764093,0.023802411,0.714172339,79.770000000,-2.840000000,-127.740000000
0B,0.321019053,0.636337768,0.033501988,0.700641584,79.830000000,-2.330000000,-127.290000000
0B,0.329632625,0.639463291,0.037303692,0.693568646,79.880000000,-2.090000000,-127.070000000
0B,0.344018058,0.647734000,0.045702399,0.678235602,79.890000000,-1.820000000,-126.380000000
0B,0.362019819,0.654935855,0.062903444,0.660336151,80.020000000,-1.450000000,-125.860000000
0B,0.372142652,0.664776191,0.077708906,0.643073704,80.050000000,-1.340000000,-125.020000000
0B,0.375248418,0.669886434,0.082810685,0.635281969,80.080000000,-1.330000000,-124.690000000
0B,0.373132863,0.682860142,0.086007575,0.622154796,80.130000000,-1.240000000,-123.870000000
0B,0.368028936,0.690054254,0.083006526,0.617648561,80.150000000,-1.240000000,-123.450000000
0B,0.362937539,0.700372440,0.083908679,0.608862975,80.280000000,-1.190000000,-123.020000000
0B,0.351133733,0.710468254,0.087508407,0.603557984,80.260000000,-1.500000000,-122.370000000
0B,0.341929178,0.716461138,0.102108713,0.599451153,80.300000000,-1.960000000,-122.050000000
0B,0.335341144,0.718788190,0.111713706,0.598673453,80.330000000,-2.220000000,-121.900000000
0B,0.321124694,0.720855432,0.135610428,0.599046065,80.440000000,-2.730000000,-121.730000000
0B,0.305821469,0.719650521,0.158611135,0.602842321,80.530000000,-3.380000000,-121.670000000
0B,0.297328178,0.718668108,0.167115837,0.605957426,80.540000000,-3.800000000,-121.660000000
0B,0.278731896,0.716582000,0.179520543,0.613670223,80.560000000,-4.640000000,-121.700000000
0B,0.258115718,0.715243556,0.182011084,0.623437965,80.540000000,-5.310000000,-121.780000000
0B,0.252119288,0.712754528,0.181913917,0.628748101,80.530000000,-5.570000000,-122.000000000
0B,0.245621153,0.705860788,0.181415623,0.639155043,80.470000000,-5.950000000,-122.450000000
0B,0.234525722,0.700176793,0.183620139,0.648871166,80.450000000,-6.500000000,-122.800000000
0B,0.222621855,0.699768696,0.181917859,0.653964200,80.490000000,-6.810000000,-122.950000000
0B,0.184615123,0.705157765,0.168813829,0.663454349,80.640000000,-7.600000000,-123.080000000
0B,0.145710821,0.710552768,0.155711564,0.670549797,80.790000000,-8.420000000,-123.250000000
0B,0.127807450,0.711941500,0.148108634,0.674439314,80.890000000,-8.740000000,-123.400000000
0B,0.107014620,0.708196753,0.135918569,0.684493515,80.910000000,-9.200000000,-123.960000000
0B,0.102405257,0.696935778,0.128606602,0.698035835,80.830000000,-9.290000000,-124.720000000
0B,0.103106915,0.690446306,0.125308404,0.704947279,80.770000000,-9.300000000,-125.140000000
0B,0.102014118,0.679394024,0.114315821,0.717599312,80.640000000,-9.260000000,-125.870000000
0B,0.099706877,0.669846201,0.100706946,0.728850271,80.560000000,-9.100000000,-126.560000000
0B,0.097603813,0.665726007,0.092903629,0.733928671,80.520000000,-9.000000000,-126.870000000
0B,0.092808564,0.657760698,0.077407143,0.743468607,80.490000000,-8.800000000,-127.500000000
0B,0.089706514,0.649747180,0.062404531,0.752254623,80.440000000,-8.590000000,-128.110000000
0B,0.090307772,0.645755576,0.055304760,0.756165078,80.390000000,-8.460000000,-128.370000000
0B,0.091606883,0.639148021,0.038102863,0.762657301,80.310000000,-8.130000000,-128.890000000
0B,0.093905384,0.636036465,0.029801709,0.765343878,80.260000000,-7.870000000,-129.100000000
0B,0.107307135,0.629741870,0.017801184,0.769151139,80.140000000,-7.360000000,-129.410000000
0B,0.129705973,0.623228700,0.010600488,0.771135512,80.020000000,-6.720000000,-129.590000000
0B,0.145709738,0.619541405,0.010400695,0.771251544,79.950000000,-6.430000000,-129.680000000
0B,0.195423273,0.609172548,0.024502918,0.768191486,79.890000000,-5.610000000,-129.790000000
0B,0.234818413,0.602947279,0.032202525,0.761759732,79.780000000,-5.020000000,-129.690000000
0B,0.247132862,0.601980048,0.030304030,0.758700887,79.780000000,-4.690000000,-129.620000000
0B,0.280309672,0.598020635,0.033301149,0.750125884,79.830000000,-3.860000000,-129.620000000
0B,0.313633606,0.596563922,0.041504447,0.737579032,79.890000000,-3.130000000,-129.430000000
0B,0.325917528,0.598332179,0.045702458,0.730539289,79.900000000,-2.830000000,-129.220000000
0B,0.348632987,0.603957146,0.056805375,0.714467603,79.880000000,-2.440000000,-128.660000000
0B,0.368741073,0.610167964,0.069507742,0.697777723,79.940000000,-1.940000000,-128.140000000
0B,0.376023875,0.614339006,0.073804686,0.689743793,79.970000000,-1.790000000,-127.910000000
0B,0.380437701,0.626362072,0.073007235,0.676467038,80.000000000,-1.500000000,-127.190000000
0B,0.386442592,0.635970094,0.077508543,0.663473125,80.010000000,-1.330000000,-126.690000000
0B,0.388922599,0.639937185,0.079604626,0.657938231,80.090000000,-1.120000000,-126.430000000
0B,0.393012983,0.647221381,0.083502759,0.647821401,80.120000000,-0.940000000,-125.920000000
0B,0.395147733,0.653478938,0.085910378,0.639877295,80.170000000,-0.840000000,-125.580000000
0B,0.394820796,0.659334728,0.091704830,0.633233353,80.220000000,-0.750000000,-125.260000000
0B,0.394655899,0.661893751,0.097513812,0.629789203,80.200000000,-0.860000000,-125.040000000
0B,0.389622005,0.668637762,0.109306173,0.623835232,80.160000000,-1.260000000,-124.520000000
0B,0.375147515,0.678685961,0.114714530,0.620878639,80.110000000,-1.620000000,-123.980000000
0B,0.366753473,0.683899713,0.117817178,0.619590337,80.110000000,-1.830000000,-123.720000000
0B,0.346622493,0.695345122,0.120407814,0.617940099,80.090000000,-2.310000000,-123.140000000
0B,0.325639988,0.705686657,0.122715069,0.617175788,80.190000000,-2.740000000,-122.810000000
0B,0.312015650,0.711835703,0.121306084,0.617430968,80.220000000,-2.970000000,-122.580000000
0B,0.287324833,0.722162416,0.119610338,0.617753392,80.350000000,-3.420000000,-122.320000000
0B,0.261517372,0.731548595,0.116107713,0.618841108,80.410000000,-3.960000000,-121.990000000
0B,0.240212995,0.737439893,0.119006438,0.619933536,80.550000000,-4.540000000,-121.870000000
0B,0.228906808,0.739922006,0.119703560,0.621118472,80.600000000,-4.830000000,-121.780000000
0B,0.208021707,0.742777509,0.120112534,0.624965215,80.660000000,-5.380000000,-121.730000000
0B,0.195221247,0.741180667,0.124713573,0.630068574,80.710000000,-5.930000000,-121.920000000
0B,0.184918963,0.741576049,0.124412759,0.632764890,80.720000000,-6.220000000,-121.900000000
0B,0.165908383,0.740637422,0.128306483,0.638332253,80.850000000,-6.840000000,-122.070000000
0B,0.144211548,0.739459215,0.130710467,0.644451607,80.950000000,-7.530000000,-122.240000000
0B,0.123504180,0.736524928,0.133404515,0.651522051,81.050000000,-8.300000000,-122.510000000
0B,0.113210861,0.734370452,0.134612914,0.655562891,81.130000000,-8.590000000,-122.660000000
0B,0.095104025,0.728930853,0.135705744,0.664228114,81.210000000,-9.170000000,-123.040000000
0B,0.088209458,0.719377132,0.137814777,0.675072382,81.200000000,-9.590000000,-123.610000000
0B,0.082006158,0.709253263,0.136910282,0.686651566,81.160000000,-9.830000000,-124.160000000
0B,0.080910175,0.703288444,0.136917218,0.692887136,81.150000000,-9.940000000,-124.500000000
0B,0.075702346,0.692021446,0.134304162,0.705221855,81.110000000,-10.140000000,-125.160000000
0B,0.063306503,0.683070162,0.126212964,0.716573603,81.130000000,-10.400000000,-125.840000000
