epoch,train_loss,validation_loss,elapsed_s
1,42.85795102800642,19.11982879638672,3.0811777918133885
2,14.390251250494094,10.152470207214355,6.0812349589541554
3,7.430440562111991,4.623691082000732,11.96527395886369
4,3.376225550969442,3.7247831344604494,17.366649249801412
5,2.7202958379473006,2.7158408641815184,21.637775958981365
6,2.3503613755816506,2.17290358543396,22.179865499958396
7,2.0823655809674944,1.9924323797225951,22.95697516691871
8,1.9586267073949177,1.9527145147323608,24.661774708889425
9,1.8828247558502924,2.453031396865845,25.21678312495351
10,1.9279595840544927,2.467575740814209,25.78723283391446
11,1.9303116344270252,1.9358592987060548,26.37998304190114
12,1.923147127741859,2.2681177139282225,27.806891249958426
13,1.8162577606382824,1.8130304336547851,30.117492583813146
14,1.6669950939360119,1.9302942276000976,31.78834858397022
15,1.758107684907459,2.1762551784515383,35.40220549982041
16,1.8049390145710535,2.063883352279663,36.62074633385055
17,1.681991389819554,2.3890506267547607,37.219812916824594
18,1.7543669201078869,2.043098258972168,37.89665379188955
19,1.7352234919865925,1.5141247272491456,39.080705208936706
20,1.6378107354754494,2.1603047847747803,41.366929249837995
21,1.6929371186665125,1.761279296875,43.71833408391103
22,1.608633694194612,1.9404138565063476,44.169163333950564
23,1.7203361931301298,1.773744320869446,45.06096487492323
24,1.5645829325630551,1.7790892124176025,47.59153616684489
25,1.4357199044454665,1.5437098264694213,49.55540541699156
26,1.4278437410082137,1.3723029136657714,51.40743195894174
27,1.4916694902238392,1.949324607849121,52.02734058396891
28,1.62327017670586,1.9348339557647705,53.961674166843295
29,1.4402886685870944,1.741360330581665,54.68071962497197
30,1.442668846675328,1.5890594720840454,55.238747666822746
31,1.502329939887637,1.633069062232971,55.87462504184805
32,1.6466384671983265,1.8328575134277343,56.3751871669665
33,1.4820968139739263,1.6628365755081176,57.01210949989036
34,1.534548038528079,1.4153443098068237,57.87565837497823
35,1.431934498605274,1.4653531312942505,58.405294958967716
36,1.3918754316511608,1.4866356134414673,58.981613458832726
37,1.2488799691200256,1.4514928817749024,59.342839458957314
38,1.365907833689735,1.5854459047317504,59.854778583860025
39,1.2977502118973505,1.5221643924713135,60.29015454184264
40,1.3154915117082142,1.4447311162948608,60.86551320902072
41,1.2303254036676317,1.6612680673599243,61.286018499871716
42,1.3687503054028465,1.6390206575393678,61.85674374992959
43,1.474362503914606,1.497362208366394,62.43388754199259
44,1.3560105902808053,1.3574663162231446,62.696212166920304
45,1.2946064131600517,1.5966434240341187,63.14149095886387
46,1.2130035502570016,1.6495837450027466,63.69750170898624
47,1.3301530083020527,1.4159912586212158,64.1456957089249
48,1.271102678208124,1.1814986944198609,64.60429987497628
49,1.1697922490891957,1.4006396055221557,65.09668945893645
50,1.2354353212174916,1.6290998458862305,65.6504496249836
51,1.3109251431056432,1.5677972078323363,66.00264904182404
52,1.2057102748325892,1.4324509859085084,67.2184581249021
53,1.2705104464576358,1.4024201154708862,67.63971166685224
54,1.195182706628527,1.3246505498886108,69.20938195893541
55,1.3415071311451139,1.3011346340179444,69.76658262498677
56,1.2179920815286183,1.5854914903640747,70.37806683382951
57,1.1314779434885298,1.1262887716293335,70.78347583394498
58,1.258758510862078,1.1173803210258484,71.22836374980398
59,1.4302057822545369,1.6357154369354248,71.6064888748806
60,1.197970410188039,1.2088104724884032,72.10924716689624
61,1.159360496770768,1.6256738185882569,76.02828441699967
62,1.538577295484997,1.8998549461364747,81.72523874999024
63,1.4703908704576039,1.6066041946411134,84.2475467917975
64,1.3375282912027269,1.462440061569214,88.99329558387399
65,1.299068516209012,1.6073678970336913,92.62342550000176
66,1.341602881749471,1.6211003541946412,99.33134787483141
67,1.3573207684925623,1.4072672128677368,103.86049754195847
68,1.4116082929429554,1.6278377056121827,108.71926466701552
69,1.2581498225529988,1.29665949344635,113.81965049984865
