step_index,sample_index,phase,servo_id,segment,command_cm,goal_tick,position_tick,signed_raw_current_ma,load_proxy_ma,capture_accepted,valid_for_two_segment_model_training
0,10,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,10,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,10,zero,8,segment_b,0.0,2071,2071,0,0,True,False
0,11,zero,1,segment_a,0.0,2781,2781,21,21,True,False
0,11,zero,2,segment_a,0.0,2046,2047,0,0,True,False
0,11,zero,3,segment_a,0.0,2506,2507,0,0,True,False
0,11,zero,4,segment_a,0.0,2450,2450,0,0,True,False
0,11,zero,5,segment_b,0.0,2244,2243,8,8,True,False
0,11,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,11,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,11,zero,8,segment_b,0.0,2071,2071,0,0,True,False
0,12,zero,1,segment_a,0.0,2781,2781,19,19,True,False
0,12,zero,2,segment_a,0.0,2046,2047,0,0,True,False
0,12,zero,3,segment_a,0.0,2506,2507,0,0,True,False
0,12,zero,4,segment_a,0.0,2450,2450,0,0,True,False
0,12,zero,5,segment_b,0.0,2244,2243,7,7,True,False
0,12,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,12,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,12,zero,8,segment_b,0.0,2071,2071,0,0,True,False
0,13,zero,1,segment_a,0.0,2781,2781,19,19,True,False
0,13,zero,2,segment_a,0.0,2046,2047,0,0,True,False
0,13,zero,3,segment_a,0.0,2506,2507,0,0,True,False
0,13,zero,4,segment_a,0.0,2450,2450,0,0,True,False
0,13,zero,5,segment_b,0.0,2244,2243,8,8,True,False
0,13,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,13,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,13,zero,8,segment_b,0.0,2071,2071,0,0,True,False
0,14,zero,1,segment_a,0.0,2781,2781,19,19,True,False
0,14,zero,2,segment_a,0.0,2046,2047,0,0,True,False
0,14,zero,3,segment_a,0.0,2506,2507,0,0,True,False
0,14,zero,4,segment_a,0.0,2450,2450,0,0,True,False
0,14,zero,5,segment_b,0.0,2244,2243,9,9,True,False
0,14,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,14,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,14,zero,8,segment_b,0.0,2071,2071,0,0,True,False
0,15,zero,1,segment_a,0.0,2781,2781,21,21,True,False
0,15,zero,2,segment_a,0.0,2046,2047,0,0,True,False
0,15,zero,3,segment_a,0.0,2506,2507,0,0,True,False
0,15,zero,4,segment_a,0.0,2450,2450,0,0,True,False
0,15,zero,5,segment_b,0.0,2244,2243,7,7,True,False
0,15,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,15,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,15,zero,8,segment_b,0.0,2071,2071,0,0,True,False
0,16,zero,1,segment_a,0.0,2781,2781,21,21,True,False
0,16,zero,2,segment_a,0.0,2046,2047,0,0,True,False
0,16,zero,3,segment_a,0.0,2506,2507,0,0,True,False
0,16,zero,4,segment_a,0.0,2450,2450,0,0,True,False
0,16,zero,5,segment_b,0.0,2244,2243,9,9,True,False
0,16,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,16,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,16,zero,8,segment_b,0.0,2071,2071,0,0,True,False
0,17,zero,1,segment_a,0.0,2781,2781,21,21,True,False
0,17,zero,2,segment_a,0.0,2046,2047,0,0,True,False
0,17,zero,3,segment_a,0.0,2506,2507,0,0,True,False
0,17,zero,4,segment_a,0.0,2450,2450,0,0,True,False
0,17,zero,5,segment_b,0.0,2244,2243,8,8,True,False
0,17,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,17,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,17,zero,8,segment_b,0.0,2071,2071,0,0,True,False
0,18,zero,1,segment_a,0.0,2781,2781,19,19,True,False
0,18,zero,2,segment_a,0.0,2046,2047,0,0,True,False
0,18,zero,3,segment_a,0.0,2506,2507,0,0,True,False
0,18,zero,4,segment_a,0.0,2450,2450,0,0,True,False
0,18,zero,5,segment_b,0.0,2244,2243,9,9,True,False
0,18,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,18,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,18,zero,8,segment_b,0.0,2071,2071,0,0,True,False
