sample_index,phase,capture_accepted,accept_reject_reason,target_label,command_target_id,command_target_index,commanded_cable_displacement_mm,target_cable_deltas_ticks,resolved_servo_goal_ticks,servo_positions_before_command,servo_positions_after_command,raw_tracker_translation_mm,robot_tip_translation_mm,tracker_stale_age_s,tracker_frame_number,runtime_tip_mode,runtime_tip_trust_level,runtime_telemetry_ok,runtime_telemetry_failure_code
0,approach,True,ok,T11,T11,11,"[0.0,-8.0,0.0,8.0]","[0,-522,0,522]","{""5"":2131,""6"":1902,""7"":2632,""8"":2384}","{""5"":2132,""6"":2428,""7"":2632,""8"":1863}","{""5"":2132,""6"":1965,""7"":2632,""8"":2385}","[-31.95,4.22,-207.64000000000001]","[3.1284182012712165,37.74115986863931,51.69812819453384]",0.03806835299837985,2209088,coil_as_tip,thesis_trusted,True,
1,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":2132,""6"":1965,""7"":2631,""8"":2385}","{""5"":2132,""6"":2426,""7"":2633,""8"":1869}","[-49.56,41.43,-210.22]","[2.9214352886994277,0.4822199209885838,69.39222755141722]",0.0,2210272,coil_as_tip,thesis_trusted,True,
2,approach,True,ok,T15,T15,15,"[0.0,8.0,0.0,-8.0]","[0,522,0,-522]","{""5"":2131,""6"":2946,""7"":2632,""8"":1340}","{""5"":2132,""6"":2426,""7"":2633,""8"":1869}","{""5"":2132,""6"":2947,""7"":2633,""8"":1402}","[-33.32,79.5,-216.55]","[6.4890216210982885,-37.986260715001315,53.24974554525251]",0.039591901999301626,2211432,coil_as_tip,thesis_trusted,True,
3,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":2132,""6"":2947,""7"":2633,""8"":1402}","{""5"":2132,""6"":2430,""7"":2631,""8"":1863}","[-49.5,42.99,-210.09]","[2.677541196547196,-1.0641773327704342,69.3350330990656]",0.0,2212600,coil_as_tip,thesis_trusted,True,
4,approach,True,ok,T06,T06,6,"[2.8284271247461907,2.82842712474619,-2.8284271247461907,-2.82842712474619]","[184,184,-184,-184]","{""5"":2315,""6"":2608,""7"":2448,""8"":1678}","{""5"":2132,""6"":2430,""7"":2631,""8"":1863}","{""5"":2314,""6"":2609,""7"":2457,""8"":1697}","[-47.04,58.03,-204.34]","[-4.152950655269251,-15.647525264695922,66.88839373890774]",0.0,2213784,coil_as_tip,thesis_trusted,True,
5,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":2314,""6"":2609,""7"":2457,""8"":1697}","{""5"":2133,""6"":2430,""7"":2631,""8"":1862}","[-49.52,43.2,-209.74]","[2.3130251452879804,-1.2478974120801283,69.35439752089589]",0.03716962699945725,2214936,coil_as_tip,thesis_trusted,True,
6,approach,True,ok,T02,T02,2,"[-2.8284271247461903,-2.82842712474619,2.8284271247461903,2.82842712474619]","[-184,-184,184,184]","{""5"":1947,""6"":2240,""7"":2816,""8"":2046}","{""5"":2133,""6"":2430,""7"":2631,""8"":1862}","{""5"":1966,""6"":2262,""7"":2815,""8"":2047}","[-45.38,28.78,-220.58]","[14.19337399950848,12.328846818404038,65.21786186868206]",0.03794084400033171,2216120,coil_as_tip,thesis_trusted,True,
7,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":1966,""6"":2262,""7"":2815,""8"":2047}","{""5"":2132,""6"":2426,""7"":2632,""8"":1865}","[-49.44,42.18,-210.79]","[3.435235575337515,-0.30783380982634156,69.27550408387101]",0.0,2217296,coil_as_tip,thesis_trusted,True,
8,approach,True,ok,T10,T10,10,"[-5.6568542494923815,-5.656854249492379,5.6568542494923815,5.656854249492379]","[-369,-369,369,369]","{""5"":1762,""6"":2055,""7"":3001,""8"":2231}","{""5"":2131,""6"":2426,""7"":2632,""8"":1865}","{""5"":1796,""6"":2093,""7"":2999,""8"":2232}","[-34.93,16.69,-229.99]","[24.49491052167062,23.67242185164116,54.77179319439702]",0.03811903200039524,2218480,coil_as_tip,thesis_trusted,True,
9,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":1796,""6"":2093,""7"":3000,""8"":2232}","{""5"":2132,""6"":2425,""7"":2632,""8"":1866}","[-49.42,41.75,-211.52]","[4.194862438851288,0.06742463938002885,69.25684598837633]",0.037132595000002766,2219648,coil_as_tip,thesis_trusted,True,
10,approach,True,ok,T03,T03,3,"[0.0,-4.0,0.0,4.0]","[0,-261,0,261]","{""5"":2131,""6"":2163,""7"":2632,""8"":2123}","{""5"":2132,""6"":2425,""7"":2632,""8"":1866}","{""5"":2132,""6"":2193,""7"":2631,""8"":2125}","[-44.57,20.92,-209.96]","[4.18085228067477,20.944676416836785,64.35938114050384]",0.03893939999943541,2220800,coil_as_tip,thesis_trusted,True,
11,repeat,True,ok,T00,T00,0,"[0.0,0.0,0.0,0.0]","[0,0,0,0]","{""5"":2131,""6"":2424,""7"":2632,""8"":1862}","{""5"":2132,""6"":2193,""7"":2631,""8"":2124}","{""5"":2132,""6"":2425,""7"":2632,""8"":1867}","[-49.5,41.64,-210.68]","[3.364965271351508,0.23891406665843817,69.33406041518622]",0.0,2221976,coil_as_tip,thesis_trusted,True,
12,approach,True,ok,T04,T04,4,"[2.82842712474619,-2.8284271247461903,-2.82842712474619,2.8284271247461903]","[184,-184,-184,184]","{""5"":2315,""6"":2240,""7"":2448,""8"":2046}","{""5"":2132,""6"":2425,""7"":2632,""8"":1867}","{""5"":2314,""6"":2261,""7"":2459,""8"":2047}","[-46.980000000000004,27.46,-203.35]","[-2.8979529254589806,14.912542932715091,66.76264610370528]",0.0,2223152,coil_as_tip,thesis_trusted,True,
