model_key,label,status,reason,sample_count,position_rmse_mm,mean_position_error_mm,max_position_error_mm,tangent_mean_error_deg,tangent_rmse_deg,tangent_max_error_deg,axis_position_rmse_mm,axis_tangent_rmse
mike,Mike,completed,,208,22.330701633711413,21.086797290098104,37.42700198254414,34.38384782999631,36.8534281235345,63.42456089003892,"[13.27078835574225, 17.120224483783783, 5.426262571585319]","[0.34376596228875456, 0.4105765084226326, 0.32716253646588833]"
camarillo,Camarillo,completed,,208,22.37084264476709,21.124173347166504,37.49505959071501,34.45109719392232,36.92546699398412,63.55209461544834,"[13.298239934348144, 17.149981765767453, 5.430427305404436]","[0.3445780928117083, 0.4114945343835904, 0.3273943849924955]"
ann,ANN,completed,,208,1.3145381682040609,0.9950455770387574,7.782966054825984,1.3037489298595786,1.5391277187290537,4.316564514328367,"[1.112167240388018, 0.5880426152678219, 0.38118303700711686]","[0.018851212986330825, 0.017899735212609548, 0.013619404930953921]"
