artifact_subdir,hidden_layers,model_key,model_label,test_loss,test_position_error_l2_max_mm,test_position_error_l2_mean_mm,test_position_error_l2_median_mm,test_position_error_l2_p95_mm,test_position_rmse_xy_mm,test_position_rmse_xyz_mm,test_position_rmse_z_mm,test_tangent_angular_error_mean_rad,test_tangent_angular_error_median_rad,training_wall_time_s,validation_loss_mean,validation_position_error_l2_max_mm,validation_position_error_l2_mean_mm,validation_position_error_l2_median_mm,validation_position_error_l2_p95_mm,validation_position_rmse_xy_mm,validation_position_rmse_xyz_mm,validation_position_rmse_z_mm,validation_tangent_angular_error_mean_rad,validation_tangent_angular_error_median_rad
linear_ridge_full_pose,[],linear_ridge_full_pose,linear_ridge,12.933326911926269,14.479391118770742,5.5804066836205735,5.107398139711887,9.729710088468702,3.1260730150559546,6.201444595599516,5.3558923231175415,,,0.33126641693525016,11.346030616760254,12.41918041883335,5.298916504297806,4.8995275369329265,9.70030520570597,2.986613260755046,5.8493010746250444,5.029360226936604,,
ann_32_32,"[32, 32]",legacy_ann_ann_32_32,"ANN [32, 32]",0.0005294208065606653,2.1701497393373748,0.50222714126519,0.40299169269384477,1.2379261780117634,0.60578000990361,0.6205999429645056,0.13481420106476044,,,13.936508291168138,0.0005318495677784085,2.708843516266817,0.5065201660440829,0.39772274493844684,1.2421950774207529,0.6234138862018999,0.6365650892568183,0.1287254417401076,,
ann_64_64,"[64, 64]",legacy_ann_ann_64_64,"ANN [64, 64]",0.00043777882819995284,2.1230777858798167,0.461630431844922,0.39695095703676175,1.0805259280161998,0.5454962497533017,0.5594812264296006,0.12431043492906627,,,12.247506416169927,0.00045661189360544083,2.4793522847393117,0.4718839791611526,0.37461734912387,1.1368726732738363,0.5772529392165845,0.5895607526208941,0.11983707772108464,,
ann_128_128,"[128, 128]",legacy_ann_ann_128_128,"ANN [128, 128]",0.00046404586755670606,2.53487213247075,0.41126972943763407,0.3430918675297838,0.9446551075850039,0.49113887389506855,0.5126716219492593,0.14701972147017647,,,9.654164332896471,0.0004568026284687221,2.5336457962754664,0.43427948169011726,0.35409443063304125,1.0885262658856296,0.5429000332951113,0.55817496736744,0.12968750149420646,,
