step_index,sample_index,phase,servo_id,segment,command_cm,goal_tick,position_tick,signed_raw_current_ma,load_proxy_ma,capture_accepted,valid_for_two_segment_model_training
0,0,zero,1,segment_a,0.0,2781,2781,21,21,True,False
0,0,zero,2,segment_a,0.0,2046,2047,0,0,True,False
0,0,zero,3,segment_a,0.0,2506,2507,0,0,True,False
0,0,zero,4,segment_a,0.0,2450,2450,0,0,True,False
0,0,zero,5,segment_b,0.0,2244,2243,8,8,True,False
0,0,zero,6,segment_b,0.0,2600,2601,0,0,True,False
0,0,zero,7,segment_b,0.0,2608,2608,0,0,True,False
0,0,zero,8,segment_b,0.0,2071,2071,0,0,True,False
1,0,single_axis_micro,1,segment_a,0.01,2788,2786,23,23,True,False
1,0,single_axis_micro,2,segment_a,0.0,2046,2047,0,0,True,False
1,0,single_axis_micro,3,segment_a,-0.01,2499,2501,-26,26,True,False
1,0,single_axis_micro,4,segment_a,0.0,2450,2450,0,0,True,False
1,0,single_axis_micro,5,segment_b,0.0,2244,2243,8,8,True,False
1,0,single_axis_micro,6,segment_b,0.0,2600,2601,0,0,True,False
1,0,single_axis_micro,7,segment_b,0.0,2608,2608,0,0,True,False
1,0,single_axis_micro,8,segment_b,0.0,2071,2071,0,0,True,False
2,0,single_axis_micro,1,segment_a,-0.01,2774,2779,-22,22,True,False
2,0,single_axis_micro,2,segment_a,0.0,2046,2047,0,0,True,False
2,0,single_axis_micro,3,segment_a,0.01,2513,2513,26,26,True,False
2,0,single_axis_micro,4,segment_a,0.0,2450,2450,0,0,True,False
2,0,single_axis_micro,5,segment_b,0.0,2244,2243,6,6,True,False
2,0,single_axis_micro,6,segment_b,0.0,2600,2601,0,0,True,False
2,0,single_axis_micro,7,segment_b,0.0,2608,2608,0,0,True,False
2,0,single_axis_micro,8,segment_b,0.0,2071,2071,0,0,True,False
3,0,single_axis_micro,1,segment_a,0.0,2781,2780,21,21,True,False
3,0,single_axis_micro,2,segment_a,0.01,2053,2052,13,13,True,False
3,0,single_axis_micro,3,segment_a,0.0,2506,2508,-26,26,True,False
3,0,single_axis_micro,4,segment_a,-0.01,2443,2444,-16,16,True,False
3,0,single_axis_micro,5,segment_b,0.0,2244,2243,7,7,True,False
3,0,single_axis_micro,6,segment_b,0.0,2600,2601,0,0,True,False
3,0,single_axis_micro,7,segment_b,0.0,2608,2608,0,0,True,False
3,0,single_axis_micro,8,segment_b,0.0,2071,2071,0,0,True,False
4,0,single_axis_micro,1,segment_a,0.0,2781,2781,22,22,True,False
4,0,single_axis_micro,2,segment_a,-0.01,2039,2042,-13,13,True,False
4,0,single_axis_micro,3,segment_a,0.0,2506,2507,-11,11,True,False
4,0,single_axis_micro,4,segment_a,0.01,2457,2456,15,15,True,False
4,0,single_axis_micro,5,segment_b,0.0,2244,2243,8,8,True,False
4,0,single_axis_micro,6,segment_b,0.0,2600,2601,0,0,True,False
4,0,single_axis_micro,7,segment_b,0.0,2608,2608,0,0,True,False
4,0,single_axis_micro,8,segment_b,0.0,2071,2071,0,0,True,False
5,0,single_axis_micro,1,segment_a,0.0,2781,2781,20,20,True,False
5,0,single_axis_micro,2,segment_a,0.0,2046,2046,13,13,True,False
5,0,single_axis_micro,3,segment_a,0.0,2506,2507,0,0,True,False
5,0,single_axis_micro,4,segment_a,0.0,2450,2451,-15,15,True,False
5,0,single_axis_micro,5,segment_b,0.01,2251,2250,8,8,True,False
5,0,single_axis_micro,6,segment_b,0.0,2600,2601,0,0,True,False
5,0,single_axis_micro,7,segment_b,-0.01,2601,2602,-22,22,True,False
5,0,single_axis_micro,8,segment_b,0.0,2071,2071,0,0,True,False
6,0,single_axis_micro,1,segment_a,0.0,2781,2781,20,20,True,False
6,0,single_axis_micro,2,segment_a,0.0,2046,2047,6,6,True,False
6,0,single_axis_micro,3,segment_a,0.0,2506,2507,0,0,True,False
6,0,single_axis_micro,4,segment_a,0.0,2450,2450,0,0,True,False
6,0,single_axis_micro,5,segment_b,-0.01,2237,2238,-9,9,True,False
6,0,single_axis_micro,6,segment_b,0.0,2600,2601,0,0,True,False
6,0,single_axis_micro,7,segment_b,0.01,2615,2614,22,22,True,False
6,0,single_axis_micro,8,segment_b,0.0,2071,2071,0,0,True,False
7,0,single_axis_micro,1,segment_a,0.0,2781,2781,21,21,True,False
7,0,single_axis_micro,2,segment_a,0.0,2046,2047,0,0,True,False
7,0,single_axis_micro,3,segment_a,0.0,2506,2507,0,0,True,False
7,0,single_axis_micro,4,segment_a,0.0,2450,2450,0,0,True,False
7,0,single_axis_micro,5,segment_b,0.0,2244,2243,7,7,True,False
7,0,single_axis_micro,6,segment_b,0.01,2607,2607,16,16,True,False
7,0,single_axis_micro,7,segment_b,0.0,2608,2609,-20,20,True,False
7,0,single_axis_micro,8,segment_b,-0.01,2064,2065,-12,12,True,False
8,0,single_axis_micro,1,segment_a,0.0,2781,2781,20,20,True,False
8,0,single_axis_micro,2,segment_a,0.0,2046,2047,0,0,True,False
8,0,single_axis_micro,3,segment_a,0.0,2506,2507,-1,1,True,False
8,0,single_axis_micro,4,segment_a,0.0,2450,2450,-3,3,True,False
8,0,single_axis_micro,5,segment_b,0.0,2244,2243,7,7,True,False
8,0,single_axis_micro,6,segment_b,-0.01,2593,2594,-1,1,True,False
8,0,single_axis_micro,7,segment_b,0.0,2608,2608,0,0,True,False
8,0,single_axis_micro,8,segment_b,0.01,2078,2077,15,15,True,False
